substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,cascade_rate,echo_rate
base,healthy_q6,cognitive_plus_structural,generalist,1200,0.9008,0.755,0.9623,0.0558,0.0658
base,healthy_q6,cognitive_plus_structural,math,4800,0.9358,0.7867,0.9643,0.0496,0.0552
base,healthy_q6,cognitive_plus_structural,rhetoric,1200,0.9158,0.7708,0.966,0.0408,0.06
base,healthy_q6,cognitive_plus_structural,spatial,1200,0.9292,0.7742,0.9706,0.04,0.0608
base,healthy_q6,cyber_only,boundary,1200,0.9108,0.7167,0.9614,0.0492,0.0758
base,healthy_q6,cyber_only,generalist,1200,0.75,0.63,0.9058,0.065,0.0492
base,healthy_q6,cyber_only,math,4800,0.7298,0.6356,0.8408,0.0619,0.0606
base,healthy_q6,cyber_only,rhetoric,1200,0.7592,0.6433,0.9168,0.0658,0.0483
base,healthy_q6,cyber_only,spatial,1200,0.6883,0.5917,0.8834,0.0558,0.0608
base,healthy_q6,cyber_plus_structural,boundary,1200,0.9183,0.7258,0.966,0.0475,0.1192
base,healthy_q6,cyber_plus_structural,generalist,1200,0.9208,0.7525,0.968,0.0433,0.1008
base,healthy_q6,cyber_plus_structural,math,4800,0.9387,0.7694,0.9675,0.0467,0.1073
base,healthy_q6,cyber_plus_structural,rhetoric,1200,0.9117,0.7317,0.9663,0.0508,0.1125
base,healthy_q6,cyber_plus_structural,spatial,1200,0.9133,0.7233,0.9655,0.0492,0.1092
base,healthy_q6,structural_only,boundary,1200,0.9083,0.7633,0.9615,0.0575,0.0433
base,healthy_q6,structural_only,generalist,1200,0.925,0.7908,0.9684,0.0458,0.05
base,healthy_q6,structural_only,math,4800,0.9408,0.8046,0.9664,0.0462,0.046
base,healthy_q6,structural_only,rhetoric,1200,0.9017,0.7808,0.9609,0.0608,0.0308
base,healthy_q6,structural_only,spatial,1200,0.9275,0.7917,0.968,0.0408,0.0433
degraded_instruct,damaged_q2,all_three_balanced,boundary,1200,0.7208,0.3833,0.8834,0.1733,0.1633
degraded_instruct,damaged_q2,all_three_balanced,generalist,1200,0.5425,0.3308,0.8053,0.1483,0.135
degraded_instruct,damaged_q2,all_three_balanced,math,4800,0.4592,0.3254,0.6888,0.1733,0.1408
degraded_instruct,damaged_q2,all_three_balanced,rhetoric,1200,0.505,0.3233,0.802,0.1583,0.14
degraded_instruct,damaged_q2,all_three_balanced,spatial,1200,0.4883,0.32,0.7815,0.1417,0.1142
degraded_instruct,damaged_q2,all_three_naive_all_fire,boundary,1200,0.2792,0.1142,0.6335,0.2717,0.3217
degraded_instruct,damaged_q2,all_three_naive_all_fire,generalist,1200,0.0975,0.0433,0.4008,0.2642,0.2867
degraded_instruct,damaged_q2,all_three_naive_all_fire,math,4800,0.0675,0.0471,0.3012,0.2929,0.3081
degraded_instruct,damaged_q2,all_three_naive_all_fire,rhetoric,1200,0.0983,0.0475,0.4019,0.2858,0.2892
degraded_instruct,damaged_q2,all_three_naive_all_fire,spatial,1200,0.095,0.0475,0.3785,0.2925,0.2908
degraded_instruct,damaged_q2,baseline,boundary,1200,0.0025,0.0025,0.0339,0.69,0.0
degraded_instruct,damaged_q2,baseline,generalist,1200,0.0008,0.0008,0.0653,0.5533,0.0
degraded_instruct,damaged_q2,baseline,math,4800,0.004,0.0035,0.0667,0.5188,0.0
degraded_instruct,damaged_q2,baseline,rhetoric,1200,0.0017,0.0017,0.0599,0.5358,0.0
degraded_instruct,damaged_q2,baseline,spatial,1200,0.0017,0.0008,0.0645,0.4967,0.0
degraded_instruct,damaged_q2,cognitive_only,boundary,1200,0.005,0.0042,0.1034,0.5708,0.0508
degraded_instruct,damaged_q2,cognitive_only,generalist,1200,0.0142,0.01,0.1989,0.425,0.0433
degraded_instruct,damaged_q2,cognitive_only,math,4800,0.0158,0.0138,0.1631,0.4467,0.0352
degraded_instruct,damaged_q2,cognitive_only,rhetoric,1200,0.0092,0.0042,0.1746,0.4483,0.0417
degraded_instruct,damaged_q2,cognitive_only,spatial,1200,0.015,0.0125,0.1905,0.4258,0.0233
degraded_instruct,damaged_q2,cognitive_plus_cyber,boundary,1200,0.0858,0.0508,0.451,0.4,0.1117
degraded_instruct,damaged_q2,cognitive_plus_cyber,generalist,1200,0.0458,0.0258,0.3111,0.3842,0.1108
degraded_instruct,damaged_q2,cognitive_plus_cyber,math,4800,0.0273,0.0219,0.2103,0.3996,0.1067
degraded_instruct,damaged_q2,cognitive_plus_cyber,rhetoric,1200,0.0367,0.0225,0.3012,0.385,0.1075
degraded_instruct,damaged_q2,cognitive_plus_cyber,spatial,1200,0.0367,0.0217,0.2728,0.37,0.1125
degraded_instruct,damaged_q2,cognitive_plus_structural,boundary,1200,0.2683,0.1592,0.6414,0.2308,0.0783
degraded_instruct,damaged_q2,cognitive_plus_structural,generalist,1200,0.2733,0.175,0.6419,0.2308,0.065
degraded_instruct,damaged_q2,cognitive_plus_structural,math,4800,0.3223,0.2481,0.5927,0.2215,0.0698
degraded_instruct,damaged_q2,cognitive_plus_structural,rhetoric,1200,0.2867,0.1858,0.6397,0.2175,0.0667
degraded_instruct,damaged_q2,cognitive_plus_structural,spatial,1200,0.275,0.1958,0.6417,0.2142,0.0683
degraded_instruct,damaged_q2,cyber_only,boundary,1200,0.0458,0.0233,0.342,0.4642,0.07
