model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,base_f16,tri_stability_70,0.0756,0.0191,0.0502,0.0044,0.0354,0.0152
27b,degraded_instruct,base_f16,tri_structural_65,0.0761,0.0231,0.0511,0.0017,0.0375,0.0144
27b,degraded_instruct,collapsed_q2_edge,cognitive_25_structural_75,0.3017,0.2273,0.4816,-0.27,0.0114,-0.0957
27b,degraded_instruct,collapsed_q2_edge,cognitive_cyber_equal,0.0465,0.036,0.1809,-0.1219,0.0677,-0.0475
27b,degraded_instruct,collapsed_q2_edge,cognitive_only,0.019,0.0137,0.1003,-0.0558,0.0454,0.0025
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_equal,0.1652,0.1229,0.3578,-0.2221,0.031,-0.0613
27b,degraded_instruct,collapsed_q2_edge,cyber_25_structural_75,0.325,0.2444,0.4923,-0.2706,0.0252,-0.1246
27b,degraded_instruct,collapsed_q2_edge,cyber_only,0.0403,0.0273,0.1414,-0.1075,0.0739,-0.0434
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_equal,0.2123,0.1519,0.3951,-0.2263,0.0566,-0.1017
27b,degraded_instruct,collapsed_q2_edge,structural_only,0.2436,0.1935,0.4235,-0.2511,0.0083,-0.0923
27b,degraded_instruct,collapsed_q2_edge,tri_equal,0.2334,0.1658,0.4309,-0.2336,0.0718,-0.0911
27b,degraded_instruct,collapsed_q2_edge,tri_naive_all_fire,0.3282,0.1735,0.5086,-0.2738,0.3206,-0.0469
27b,degraded_instruct,collapsed_q2_edge,tri_routed_68_20_12,0.5257,0.3725,0.6329,-0.3121,0.0372,-0.1144
27b,degraded_instruct,collapsed_q2_edge,tri_routed_72_18_10,0.5546,0.3867,0.6518,-0.3127,0.0325,-0.1211
27b,degraded_instruct,collapsed_q2_edge,tri_stability_70,0.5359,0.3792,0.6404,-0.3221,0.0352,-0.1132
27b,degraded_instruct,collapsed_q2_edge,tri_structural_65,0.4971,0.3515,0.6126,-0.3148,0.042,-0.1207
27b,degraded_instruct,damaged_q2,cognitive_25_structural_75,0.6202,0.4504,0.5683,-0.1719,0.0111,-0.079
27b,degraded_instruct,damaged_q2,cognitive_cyber_equal,0.1487,0.1047,0.2454,-0.0862,0.0656,-0.0365
27b,degraded_instruct,damaged_q2,cognitive_only,0.072,0.0539,0.1486,-0.0435,0.0331,-0.0033
27b,degraded_instruct,damaged_q2,cognitive_structural_equal,0.4058,0.2977,0.4514,-0.1471,0.0267,-0.0504
27b,degraded_instruct,damaged_q2,cyber_25_structural_75,0.6191,0.4595,0.5668,-0.1794,0.0211,-0.1219
27b,degraded_instruct,damaged_q2,cyber_only,0.12,0.0741,0.1948,-0.0725,0.0675,-0.04
27b,degraded_instruct,damaged_q2,cyber_structural_equal,0.4495,0.3235,0.4677,-0.1575,0.0423,-0.0877
27b,degraded_instruct,damaged_q2,structural_only,0.535,0.3962,0.5133,-0.1679,-0.0004,-0.074
27b,degraded_instruct,damaged_q2,tri_equal,0.5137,0.3579,0.5083,-0.1619,0.0608,-0.0756
27b,degraded_instruct,damaged_q2,tri_naive_all_fire,0.5831,0.2789,0.5479,-0.1642,0.3136,-0.0065
27b,degraded_instruct,damaged_q2,tri_routed_68_20_12,0.7852,0.5477,0.6613,-0.2054,0.0338,-0.1129
27b,degraded_instruct,damaged_q2,tri_routed_72_18_10,0.7968,0.5545,0.6708,-0.2106,0.024,-0.1036
27b,degraded_instruct,damaged_q2,tri_stability_70,0.7843,0.5422,0.6639,-0.2015,0.0248,-0.1038
27b,degraded_instruct,damaged_q2,tri_structural_65,0.7702,0.5289,0.6536,-0.2015,0.0417,-0.0998
27b,degraded_instruct,damaged_q3,cognitive_25_structural_75,0.6531,0.4795,0.4115,-0.066,0.0152,-0.0438
27b,degraded_instruct,damaged_q3,cognitive_cyber_equal,0.3613,0.2352,0.2574,-0.03,0.0738,-0.0054
27b,degraded_instruct,damaged_q3,cognitive_only,0.2138,0.1458,0.1734,-0.0075,0.0432,0.0146
27b,degraded_instruct,damaged_q3,cognitive_structural_equal,0.6427,0.4545,0.4054,-0.0633,0.0225,-0.0313
27b,degraded_instruct,damaged_q3,cyber_25_structural_75,0.6484,0.477,0.4097,-0.0704,0.0261,-0.0533
27b,degraded_instruct,damaged_q3,cyber_only,0.2679,0.1737,0.1976,-0.0146,0.0788,-0.0094
27b,degraded_instruct,damaged_q3,cyber_structural_equal,0.6142,0.4377,0.3926,-0.0569,0.0411,-0.0436
27b,degraded_instruct,damaged_q3,structural_only,0.6402,0.4806,0.4059,-0.0667,0.0059,-0.0356
27b,degraded_instruct,damaged_q3,tri_equal,0.6425,0.4281,0.4075,-0.0606,0.0715,-0.039
27b,degraded_instruct,damaged_q3,tri_naive_all_fire,0.6154,0.2291,0.3734,-0.0504,0.3123,0.02
27b,degraded_instruct,damaged_q3,tri_routed_68_20_12,0.6583,0.4833,0.4142,-0.0735,0.0336,-0.0625
27b,degraded_instruct,damaged_q3,tri_routed_72_18_10,0.6586,0.4743,0.4143,-0.0735,0.0321,-0.0467
27b,degraded_instruct,damaged_q3,tri_stability_70,0.6569,0.4835,0.4143,-0.0756,0.0344,-0.0671
27b,degraded_instruct,damaged_q3,tri_structural_65,0.6633,0.4756,0.4165,-0.0792,0.0421,-0.0456
27b,degraded_instruct,damaged_q4,cognitive_25_structural_75,0.4394,0.3275,0.2462,-0.0421,0.0111,-0.02
27b,degraded_instruct,damaged_q4,cognitive_cyber_equal,0.3638,0.215,0.205,-0.0152,0.0759,0.0031
27b,degraded_instruct,damaged_q4,cognitive_only,0.2638,0.17,0.1487,-0.0115,0.039,0.0214
27b,degraded_instruct,damaged_q4,cognitive_structural_equal,0.4327,0.3027,0.2439,-0.0375,0.0288,-0.0102
27b,degraded_instruct,damaged_q4,cyber_25_structural_75,0.4381,0.3285,0.2465,-0.0396,0.0242,-0.035
27b,degraded_instruct,damaged_q4,cyber_only,0.2767,0.1629,0.1579,-0.0098,0.0711,0.0029
27b,degraded_instruct,damaged_q4,cyber_structural_equal,0.4348,0.3041,0.2451,-0.0404,0.0436,-0.0242
27b,degraded_instruct,damaged_q4,structural_only,0.436,0.3269,0.2465,-0.0417,0.0009,-0.0136
27b,degraded_instruct,damaged_q4,tri_equal,0.431,0.2708,0.2443,-0.0338,0.0669,-0.0123
27b,degraded_instruct,damaged_q4,tri_naive_all_fire,0.3856,0.0366,0.2015,-0.0052,0.3186,0.0469
27b,degraded_instruct,damaged_q4,tri_routed_68_20_12,0.4369,0.3198,0.2469,-0.0425,0.0311,-0.0304
27b,degraded_instruct,damaged_q4,tri_routed_72_18_10,0.4396,0.3191,0.2467,-0.0448,0.029,-0.0302
27b,degraded_instruct,damaged_q4,tri_stability_70,0.4346,0.3077,0.2446,-0.0388,0.0306,-0.0186
27b,degraded_instruct,damaged_q4,tri_structural_65,0.4381,0.3164,0.2481,-0.0442,0.0373,-0.0298
27b,degraded_instruct,healthy_q6,cognitive_25_structural_75,0.1758,0.1323,0.1076,-0.0102,0.0133,-0.0111
27b,degraded_instruct,healthy_q6,cognitive_cyber_equal,0.1602,0.0634,0.102,-0.0046,0.072,0.0033
27b,degraded_instruct,healthy_q6,cognitive_only,0.1565,0.0796,0.0973,-0.0021,0.0387,0.0156
27b,degraded_instruct,healthy_q6,cognitive_structural_equal,0.1669,0.1136,0.1039,-0.0062,0.0233,-0.0065
27b,degraded_instruct,healthy_q6,cyber_25_structural_75,0.1673,0.1242,0.1058,-0.0096,0.0268,-0.0183
27b,degraded_instruct,healthy_q6,cyber_only,0.1577,0.0431,0.0956,-0.0043,0.0752,0.0258
27b,degraded_instruct,healthy_q6,cyber_structural_equal,0.1654,0.0934,0.1033,-0.0068,0.0483,-0.0052
27b,degraded_instruct,healthy_q6,structural_only,0.1669,0.1398,0.1061,-0.0091,0.0033,-0.0175
27b,degraded_instruct,healthy_q6,tri_equal,0.1635,0.0706,0.1021,-0.0027,0.0691,-0.0015
27b,degraded_instruct,healthy_q6,tri_naive_all_fire,0.131,-0.1791,0.0656,0.0175,0.3077,0.071
27b,degraded_instruct,healthy_q6,tri_routed_68_20_12,0.1735,0.1156,0.1065,-0.01,0.0354,-0.015
27b,degraded_instruct,healthy_q6,tri_routed_72_18_10,0.1704,0.1192,0.1061,-0.0102,0.0362,-0.0215
27b,degraded_instruct,healthy_q6,tri_stability_70,0.1785,0.1296,0.1084,-0.0148,0.0285,-0.0177
27b,degraded_instruct,healthy_q6,tri_structural_65,0.1779,0.1202,0.1081,-0.0179,0.0373,-0.0152
27b,degraded_instruct,healthy_q8,cognitive_25_structural_75,0.1127,0.0902,0.0714,-0.0008,0.0092,-0.0102
27b,degraded_instruct,healthy_q8,cognitive_cyber_equal,0.105,0.0165,0.068,0.0042,0.0704,0.01
27b,degraded_instruct,healthy_q8,cognitive_only,0.1002,0.0371,0.0664,0.0039,0.0458,0.0087
27b,degraded_instruct,healthy_q8,cognitive_structural_equal,0.1106,0.0648,0.0703,-0.0013,0.0283,0.0
27b,degraded_instruct,healthy_q8,cyber_25_structural_75,0.1089,0.0765,0.0709,0.0002,0.0246,-0.0115
27b,degraded_instruct,healthy_q8,cyber_only,0.1004,0.0148,0.0657,0.0058,0.0723,0.0058
27b,degraded_instruct,healthy_q8,cyber_structural_equal,0.1096,0.054,0.0698,0.0012,0.0496,-0.0127
27b,degraded_instruct,healthy_q8,structural_only,0.1164,0.1098,0.0738,-0.0029,0.0027,-0.0219
27b,degraded_instruct,healthy_q8,tri_equal,0.1089,0.0442,0.0713,0.0019,0.0656,-0.0102
27b,degraded_instruct,healthy_q8,tri_naive_all_fire,0.0704,-0.211,0.0311,0.0275,0.3069,0.0535
