model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,cognitive_cyber_equal,medium,1200,0.1375,0.115,0.4028,0.7858,0.2792,0.0642,0.35,2.2408,-0.1216,primitive_gap
27b,base,collapsed_q2_edge,cognitive_only,extreme,1200,0.0083,0.005,0.136,0.5817,0.5767,0.0592,0.8008,4.1067,-0.4492,cascade
27b,base,collapsed_q2_edge,cognitive_only,high,1200,0.025,0.0183,0.2047,0.6517,0.4483,0.0367,0.5283,3.3167,-0.3316,cascade
27b,base,collapsed_q2_edge,cognitive_only,low,1200,0.0825,0.0592,0.4023,0.7508,0.2008,0.0258,0.28,1.7583,-0.1166,primitive_gap
27b,base,collapsed_q2_edge,cognitive_only,medium,1200,0.0567,0.05,0.2861,0.6892,0.305,0.0458,0.3725,2.7883,-0.2199,primitive_gap
27b,base,collapsed_q2_edge,cognitive_structural_equal,extreme,1200,0.1392,0.0892,0.3867,0.7292,0.3833,0.0533,0.69,2.4967,-0.2165,cascade
27b,base,collapsed_q2_edge,cognitive_structural_equal,high,1200,0.1642,0.1208,0.4361,0.7617,0.305,0.0258,0.4783,2.09,-0.1186,primitive_gap
27b,base,collapsed_q2_edge,cognitive_structural_equal,low,1200,0.2917,0.2175,0.6494,0.8808,0.1283,0.0183,0.2608,0.9792,0.1055,low_score
27b,base,collapsed_q2_edge,cognitive_structural_equal,medium,1200,0.2583,0.2142,0.5375,0.805,0.2158,0.0258,0.3367,1.6358,0.0355,primitive_gap
27b,base,collapsed_q2_edge,cyber_25_structural_75,extreme,1200,0.2758,0.1517,0.52,0.7242,0.3117,0.0442,0.6275,1.745,-0.0881,cascade
27b,base,collapsed_q2_edge,cyber_25_structural_75,high,1200,0.31,0.2217,0.5495,0.7558,0.2642,0.0283,0.4192,1.5208,0.0272,cascade
