"captured_at"	"relative_path"	"length"	"last_write_time"	"sha256"
"2026-07-02T14:12:52.2711266-04:00"	"imported\experiments\wide-net\discoveries.txt"	"463654"	"2026-07-01T15:14:47.3777599-04:00"	"5F42CA5BBE4B593A8B680B48E1ED7DF296664A65B6503C224DAA24DFC642F3D5"
"2026-07-02T14:12:52.3011305-04:00"	"imported\experiments\wide-net\widesmoke.txt"	"14621890"	"2026-07-01T15:14:47.4157596-04:00"	"62FADEABC937FD5CE8E38896BB903575710E59421181E9ADDD668C710ECB6BB8"
"2026-07-02T14:12:52.3161671-04:00"	"imported\experiments\wide-net\widesmoke2.txt"	"460493"	"2026-07-01T15:14:47.4407597-04:00"	"99A2E96E517C556E2D0CA63D11C7CD0B916D10F58F9E98BE87E1B4E35A274800"
"2026-07-02T14:12:52.3191696-04:00"	"runs\20260701-214125-rf-crypto-self-repair-arc-xpu-32768.log"	"3701"	"2026-07-01T21:41:29.2348818-04:00"	"308598D0E0F3B3CBBB772D78C09BDAE2815441C8F27BFBA376304B62F81A30E5"
"2026-07-02T14:12:52.3201677-04:00"	"runs\20260701-214135-spiderweb-rf-chaos-release.log"	"876"	"2026-07-01T21:41:36.0989046-04:00"	"FEFDBCA67733C96E6FFBAFC0607E865EFC01A92F040C1DB26D3B044B50C7DBD3"
"2026-07-02T14:12:52.3201677-04:00"	"runs\20260701-214135-spiderweb-rf-fortify-release.log"	"880"	"2026-07-01T21:41:36.0828997-04:00"	"C081EABCD386A528D9532437D9D159444B8920A364B671AF1BBE7C0878D8FE05"
"2026-07-02T14:12:52.3391694-04:00"	"runs\20260701-214215-spiderweb-rf-fortify-release.command.ps1"	"162"	"2026-07-01T21:42:15.2119688-04:00"	"A42CB510A956A0562EAE862B7C1963495DFADB0135FF3CD53AA093A324DD05AB"
"2026-07-02T14:12:52.3411674-04:00"	"runs\20260701-214215-spiderweb-rf-fortify-release.log"	"1679"	"2026-07-01T21:42:16.2911871-04:00"	"916AFCBFBDBEF2F569BB589ED6DD54CE1A40CC4023890D138F0F5EFF684091CD"
"2026-07-02T14:12:52.3501673-04:00"	"runs\20260701-214215-spiderweb-rf-fortify-release.stderr.txt"	"166"	"2026-07-01T21:42:15.3059716-04:00"	"098E537E0B80F10E29DED1309676F312AB0404F1B8A10769C5570A501364BCD7"
"2026-07-02T14:12:52.3581686-04:00"	"runs\20260701-214215-spiderweb-rf-fortify-release.stdout.txt"	"174"	"2026-07-01T21:42:15.3079715-04:00"	"95D8D870F60E436F2D2A1C8A5B595075FA1409278565CF3FFF5BA6A80E9B544F"
"2026-07-02T14:12:52.3601705-04:00"	"runs\20260701-214235-spiderweb-rf-fortify-release.command.ps1"	"162"	"2026-07-01T21:42:35.9210632-04:00"	"A42CB510A956A0562EAE862B7C1963495DFADB0135FF3CD53AA093A324DD05AB"
"2026-07-02T14:12:52.3611675-04:00"	"runs\20260701-214235-spiderweb-rf-fortify-release.log"	"4067"	"2026-07-01T21:42:38.0245934-04:00"	"DF9FF0182A86C8ED956D98B6EB1FDDD1E3EA6F8F3455F226DCD8354D44B5F80B"
"2026-07-02T14:12:52.3681774-04:00"	"runs\20260701-214235-spiderweb-rf-fortify-release.stderr.txt"	"113"	"2026-07-01T21:42:36.2955892-04:00"	"B7FAE917A95F4E75794A42C9C52A64DFBD9E851970833AC19862766FEF3BDF1E"
"2026-07-02T14:12:52.3761754-04:00"	"runs\20260701-214235-spiderweb-rf-fortify-release.stdout.txt"	"1398"	"2026-07-01T21:42:37.3786784-04:00"	"3F737DDD6FC4E132A319D0F6CFE88E17E844BBA52D583A80655EA6A37C50BF9E"
"2026-07-02T14:12:52.3945760-04:00"	"runs\20260701-214248-spiderweb-rf-chaos-release.command.ps1"	"160"	"2026-07-01T21:42:48.9657408-04:00"	"0D0D447E9E84C517E81848A1BBC9A6D3D7EE630F4EABFA115493B894F40D45AD"
"2026-07-02T14:12:52.3955734-04:00"	"runs\20260701-214248-spiderweb-rf-chaos-release.log"	"6959"	"2026-07-01T21:42:53.1188627-04:00"	"C365CAB63144E150D0B2DADA2BAAAF032284DF81922541F1D06FB918E1CA8EC5"
"2026-07-02T14:12:52.4045778-04:00"	"runs\20260701-214248-spiderweb-rf-chaos-release.stderr.txt"	"111"	"2026-07-01T21:42:49.2882211-04:00"	"68712C8A1C6ACAF8EDCF648A2BDACE51C7A525E59BE4E3CD18AD9A0B8FB38CC9"
"2026-07-02T14:12:52.4130923-04:00"	"runs\20260701-214248-spiderweb-rf-chaos-release.stdout.txt"	"2825"	"2026-07-01T21:42:52.0472418-04:00"	"DC7E04707A64DA2B767E554B471C1994A7380659017726870FF5A10CC38BA754"
"2026-07-02T14:12:52.4330909-04:00"	"runs\20260701-214304-mm3e-tpu-signals-real-release.command.ps1"	"176"	"2026-07-01T21:43:04.6009300-04:00"	"CE52AB49DE94FD825C12AAD128AAA718BB8F885098DD628FD8644993C05294F9"
"2026-07-02T14:12:52.4350908-04:00"	"runs\20260701-214304-mm3e-tpu-signals-real-release.log"	"3755"	"2026-07-01T21:43:14.8216084-04:00"	"6C2AE4B4270574E7941176C25BA504C0414FF2CDBCEBC82EBE775FD7E9872C9E"
"2026-07-02T14:12:52.4440936-04:00"	"runs\20260701-214304-mm3e-tpu-signals-real-release.stderr.txt"	"122"	"2026-07-01T21:43:04.9339758-04:00"	"C30671B5846C78BE805CB3D2E6386A102F56E454AC933018F737331A667DC872"
"2026-07-02T14:12:52.4530941-04:00"	"runs\20260701-214304-mm3e-tpu-signals-real-release.stdout.txt"	"1245"	"2026-07-01T21:43:13.6560400-04:00"	"4F604AF597FCBFA855057B5318CE31750A334FB4D414FC702A4C939A6E8237E7"
"2026-07-02T14:12:52.4730907-04:00"	"runs\20260701-214319-mm3e-stoch-subitize-real-release.command.ps1"	"179"	"2026-07-01T21:43:19.7084300-04:00"	"C31C9010AE303D7DD2724D925B94A42352A091D98C668F788CF7695C451C39C9"
"2026-07-02T14:12:52.4740936-04:00"	"runs\20260701-214319-mm3e-stoch-subitize-real-release.log"	"4503"	"2026-07-01T21:43:24.8905485-04:00"	"94F31049CC2C9384300683DA66BAD38761A4595407E803307298C0AF4D9F8C76"
"2026-07-02T14:12:52.4850926-04:00"	"runs\20260701-214319-mm3e-stoch-subitize-real-release.stderr.txt"	"219"	"2026-07-01T21:43:20.6358766-04:00"	"46022C7166C1F4CDB765B75C065D90EA92C0710BEA5FBB78F417C23C2AF547DC"
"2026-07-02T14:12:52.4940915-04:00"	"runs\20260701-214319-mm3e-stoch-subitize-real-release.stdout.txt"	"1511"	"2026-07-01T21:43:24.6899612-04:00"	"6D9782776C55AB1D86D8D541DE6294194FE23DC59D6C4DF9D3701BC105E776A6"
"2026-07-02T14:12:52.5136026-04:00"	"runs\20260701-214330-mm3e-dual-normal-real-release.command.ps1"	"176"	"2026-07-01T21:43:30.3378604-04:00"	"FDEB052E682FF06D4A76FD476FDCA4276FC99D06227A1352223999B0B23E7DDE"
"2026-07-02T14:12:52.5146021-04:00"	"runs\20260701-214330-mm3e-dual-normal-real-release.log"	"3585"	"2026-07-01T21:43:33.5024371-04:00"	"14BD6F6E64B4B2E2BCD4CA78C500EF199C9B5B1DBB78BE3E118A3303B37400DD"
"2026-07-02T14:12:52.5256029-04:00"	"runs\20260701-214330-mm3e-dual-normal-real-release.stderr.txt"	"216"	"2026-07-01T21:43:31.3570118-04:00"	"043ED843AC4F5C895E4759457A64445956F04936A56A86993E81CE77B60C20C6"
"2026-07-02T14:12:52.5346030-04:00"	"runs\20260701-214330-mm3e-dual-normal-real-release.stdout.txt"	"1059"	"2026-07-01T21:43:32.8460775-04:00"	"514024A2C23AB9658B310ABA9A1B8544891775C69BDE4657CE4001E7DAD76F71"
"2026-07-02T14:12:52.5356029-04:00"	"runs\20260702-141214-pmre-cargo-clippy-workspace.command.ps1"	"162"	"2026-07-02T14:12:15.0805567-04:00"	"F29E02F8141BE4527FDD53B4FAD6485DDF9DFB2470C0A15F5469C97F6C6E510B"
"2026-07-02T14:12:52.5366031-04:00"	"runs\20260702-141214-pmre-cargo-clippy-workspace.log"	"1184"	"2026-07-02T14:12:16.1633448-04:00"	"96C7A8A90276CFA2B37DA3A9038334160633ADA7FA76A59BA2B9ADA2D63CF1D4"
"2026-07-02T14:12:52.5376027-04:00"	"runs\20260702-141214-pmre-cargo-clippy-workspace.stderr.txt"	"72"	"2026-07-02T14:12:16.0133038-04:00"	"4F27AC380B22E1D975EEE20CE727FA8CBC09061177F6253AF0777FD4DE7B7506"
"2026-07-02T14:12:52.5386030-04:00"	"runs\20260702-141214-pmre-cargo-clippy-workspace.stdout.txt"	"0"	"2026-07-02T14:12:15.0845647-04:00"	"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"2026-07-02T14:12:52.5396027-04:00"	"runs\20260702-141214-pmre-cargo-test-workspace.command.ps1"	"131"	"2026-07-02T14:12:15.0805567-04:00"	"FF023DC7A0A248476C52C8E27A36B56CFA652ACABCF6CCF9E315BA4BA1E862B8"
"2026-07-02T14:12:52.5416062-04:00"	"runs\20260702-141214-pmre-cargo-test-workspace.log"	"4333"	"2026-07-02T14:12:17.1603459-04:00"	"08E9A425DCA63205368AA230C2C89433CDFBAE6DBE49CA59A2A10AC65BAA3511"
"2026-07-02T14:12:52.5426034-04:00"	"runs\20260702-141214-pmre-cargo-test-workspace.stderr.txt"	"355"	"2026-07-02T14:12:16.1078239-04:00"	"578D3717E19DA8C4485BBB94411E48AEFEB306D7275904B943B7938ECA243DE8"
"2026-07-02T14:12:52.5426034-04:00"	"runs\20260702-141214-pmre-cargo-test-workspace.stdout.txt"	"1269"	"2026-07-02T14:12:16.1643495-04:00"	"CF8CC868DAAA4BD995768F5F07EDBA3504B80D2737C0D15C53F0F46C21D507CB"
"2026-07-02T14:12:52.5436026-04:00"	"runs\20260702-141214-pmre-cargo-tree.command.ps1"	"119"	"2026-07-02T14:12:15.0545534-04:00"	"24601855F18F41DA2EFD5E4364C1226755CB11F11D5B1AD6B22A8E9BEC7411FB"
"2026-07-02T14:12:52.5446026-04:00"	"runs\20260702-141214-pmre-cargo-tree.log"	"15603"	"2026-07-02T14:12:16.1493443-04:00"	"509FD698510AE80826E7A00BD7137424CF09A9402138DC9FDCD86302B1B8B559"
"2026-07-02T14:12:52.5446026-04:00"	"runs\20260702-141214-pmre-cargo-tree.stderr.txt"	"0"	"2026-07-02T14:12:15.0595531-04:00"	"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"2026-07-02T14:12:52.5456026-04:00"	"runs\20260702-141214-pmre-cargo-tree.stdout.txt"	"7160"	"2026-07-02T14:12:15.8357400-04:00"	"5FA584613622ED2951352D07BD56A4B1318584256634FABEBBEE8D2AB22A257A"
