model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
2b_reference,base,collapsed_q2_edge,q3_routed_tri_68,5600,0.155,0.1096,0.4048,0.6512,0.3886,0.0386,0.5361,2.0109,-0.1581,cascade
2b_reference,base,collapsed_q2_edge,q3_stability_tri_72,5600,0.172,0.1236,0.4278,0.663,0.3807,0.0386,0.5337,1.8995,-0.136,cascade
2b_reference,base,collapsed_q2_edge,q4_boundary_pair_72_28,5600,0.0825,0.0616,0.2783,0.555,0.4927,0.0314,0.5416,2.6198,-0.2668,cascade
2b_reference,base,collapsed_q2_edge,q4_generalist_pair_72_28,5600,0.0614,0.0459,0.2505,0.5573,0.5105,0.0243,0.5916,2.7645,-0.2977,cascade
2b_reference,base,damaged_q2,q2_amplifier_low_echo,5600,0.7184,0.3559,0.831,0.8679,0.1511,0.28,0.4587,0.1913,0.2083,none
2b_reference,base,damaged_q2,q3_routed_tri_68,5600,0.4354,0.3023,0.6625,0.8132,0.2291,0.043,0.4505,1.0164,0.1381,none
2b_reference,base,damaged_q2,q3_stability_tri_72,5600,0.4611,0.3248,0.6777,0.8011,0.2255,0.0364,0.4498,0.9339,0.1672,none
2b_reference,base,damaged_q2,q4_boundary_pair_72_28,5600,0.2543,0.1857,0.5082,0.7095,0.3005,0.0282,0.4491,1.6266,-0.0273,cascade
2b_reference,base,damaged_q2,q4_generalist_pair_72_28,5600,0.2148,0.1579,0.4886,0.7245,0.2957,0.0204,0.5041,1.7516,-0.0628,cascade
2b_reference,base,damaged_q3,q2_amplifier_low_echo,5600,0.857,0.4507,0.9051,0.9855,0.1098,0.2823,0.3241,0.0512,0.3328,none
2b_reference,base,damaged_q3,q3_routed_tri_68,5600,0.8593,0.6207,0.9243,0.9673,0.1059,0.0393,0.2945,0.0755,0.5538,none
2b_reference,base,damaged_q3,q3_stability_tri_72,5600,0.848,0.6073,0.9208,0.9637,0.1159,0.0389,0.3046,0.0702,0.5369,none
2b_reference,base,damaged_q3,q4_boundary_pair_72_28,5600,0.7259,0.5448,0.8418,0.8864,0.1352,0.0352,0.2946,0.363,0.4555,none
2b_reference,base,damaged_q3,q4_generalist_pair_72_28,5600,0.73,0.5355,0.8475,0.9311,0.1327,0.022,0.3362,0.3837,0.4453,none
2b_reference,base,damaged_q4,q2_amplifier_low_echo,5600,0.8857,0.4943,0.9183,0.9861,0.0807,0.2818,0.275,0.0488,0.3893,none
2b_reference,base,damaged_q4,q3_routed_tri_68,5600,0.9055,0.6837,0.9473,0.9925,0.0791,0.0421,0.2404,0.0471,0.63,none
2b_reference,base,damaged_q4,q3_stability_tri_72,5600,0.9038,0.6964,0.9469,0.988,0.0791,0.0339,0.2321,0.0462,0.645,none
2b_reference,base,damaged_q4,q4_boundary_pair_72_28,5600,0.8707,0.6729,0.9293,0.9559,0.0914,0.0298,0.2354,0.0804,0.6166,none
2b_reference,base,damaged_q4,q4_generalist_pair_72_28,5600,0.8925,0.6775,0.9417,0.9886,0.0852,0.0213,0.2466,0.058,0.6251,none
2b_reference,base,healthy_q6,q2_amplifier_low_echo,5600,0.9046,0.5336,0.9277,0.9911,0.0645,0.2848,0.2173,0.052,0.4373,none
2b_reference,base,healthy_q6,q3_routed_tri_68,5600,0.9298,0.7562,0.9579,0.9902,0.0554,0.0357,0.1713,0.0512,0.7162,none
2b_reference,base,healthy_q6,q3_stability_tri_72,5600,0.9323,0.7586,0.9601,0.9893,0.0511,0.0377,0.1671,0.047,0.72,none
2b_reference,base,healthy_q6,q4_boundary_pair_72_28,5600,0.9229,0.748,0.9567,0.99,0.0589,0.033,0.1754,0.0496,0.7072,none
2b_reference,base,healthy_q6,q4_generalist_pair_72_28,5600,0.9261,0.7604,0.957,0.9902,0.057,0.0202,0.18,0.0505,0.7223,none
2b_reference,base,healthy_q8,q2_amplifier_low_echo,5600,0.9118,0.5498,0.9311,0.9905,0.06,0.2823,0.1923,0.0507,0.4574,none
2b_reference,base,healthy_q8,q3_routed_tri_68,5600,0.9457,0.783,0.965,0.9904,0.0386,0.0375,0.1525,0.0488,0.7493,none
2b_reference,base,healthy_q8,q3_stability_tri_72,5600,0.9489,0.7887,0.9666,0.9898,0.035,0.0393,0.1437,0.0482,0.7565,none
2b_reference,base,healthy_q8,q4_boundary_pair_72_28,5600,0.9459,0.7877,0.9654,0.99,0.0386,0.0352,0.1482,0.0475,0.7548,none
2b_reference,base,healthy_q8,q4_generalist_pair_72_28,5600,0.9461,0.7941,0.9653,0.9905,0.0362,0.0221,0.1512,0.0502,0.7642,none
2b_reference,base,q8_k_m,q2_amplifier_low_echo,5600,0.9257,0.562,0.9363,0.9898,0.0509,0.2782,0.1832,0.0429,0.4743,none
2b_reference,base,q8_k_m,q3_routed_tri_68,5600,0.9516,0.8,0.9674,0.9889,0.0311,0.038,0.1364,0.0512,0.7696,none
2b_reference,base,q8_k_m,q3_stability_tri_72,5600,0.948,0.8021,0.9666,0.9882,0.0336,0.0407,0.1293,0.0534,0.7709,none
2b_reference,base,q8_k_m,q4_boundary_pair_72_28,5600,0.9477,0.8046,0.9669,0.9893,0.0334,0.033,0.1343,0.0502,0.7748,none
2b_reference,base,q8_k_m,q4_generalist_pair_72_28,5600,0.9552,0.8213,0.9692,0.9889,0.0279,0.0211,0.1311,0.0498,0.7957,none
2b_reference,degraded_instruct,base_f16,q2_amplifier_low_echo,5600,0.9252,0.5564,0.9358,0.9893,0.0452,0.2904,0.1782,0.0493,0.4681,none
2b_reference,degraded_instruct,base_f16,q3_routed_tri_68,5600,0.9621,0.8114,0.9716,0.9905,0.0218,0.0491,0.1229,0.0509,0.7827,none
2b_reference,degraded_instruct,base_f16,q3_stability_tri_72,5600,0.9607,0.8264,0.9715,0.9895,0.0254,0.037,0.1139,0.0502,0.7998,none
2b_reference,degraded_instruct,base_f16,q4_boundary_pair_72_28,5600,0.9537,0.8141,0.9694,0.9895,0.0293,0.0416,0.1136,0.053,0.7853,none
2b_reference,degraded_instruct,base_f16,q4_generalist_pair_72_28,5600,0.9618,0.8221,0.9722,0.9916,0.0234,0.0314,0.1282,0.0471,0.7962,none
2b_reference,degraded_instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.4325,0.2191,0.6557,0.7521,0.2411,0.2895,0.5273,0.8134,0.006,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,q3_routed_tri_68,5600,0.1355,0.0973,0.3786,0.6279,0.4014,0.0488,0.5602,2.108,-0.1831,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,q3_stability_tri_72,5600,0.1555,0.1086,0.4092,0.6386,0.3843,0.0466,0.547,1.9761,-0.1586,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,q4_boundary_pair_72_28,5600,0.0623,0.0484,0.2518,0.532,0.5171,0.0387,0.5443,2.7371,-0.2949,cascade
2b_reference,degraded_instruct,collapsed_q2_edge,q4_generalist_pair_72_28,5600,0.0541,0.0377,0.2413,0.54,0.5012,0.027,0.5966,2.8318,-0.3074,cascade
2b_reference,degraded_instruct,damaged_q2,q2_amplifier_low_echo,5600,0.705,0.342,0.8253,0.8541,0.1518,0.2855,0.4546,0.205,0.1927,none
2b_reference,degraded_instruct,damaged_q2,q3_routed_tri_68,5600,0.4102,0.2802,0.6449,0.7884,0.2288,0.0486,0.4593,1.0839,0.1109,none
2b_reference,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.4346,0.2988,0.6604,0.7884,0.2325,0.0427,0.4559,0.9927,0.1344,none
2b_reference,degraded_instruct,damaged_q2,q4_boundary_pair_72_28,5600,0.2325,0.1654,0.4869,0.6868,0.3179,0.0357,0.4559,1.6846,-0.0578,cascade
2b_reference,degraded_instruct,damaged_q2,q4_generalist_pair_72_28,5600,0.2018,0.148,0.4644,0.6966,0.3202,0.0248,0.5007,1.8271,-0.0844,cascade
2b_reference,degraded_instruct,damaged_q3,q2_amplifier_low_echo,5600,0.857,0.4489,0.9047,0.9771,0.1045,0.2975,0.3227,0.0459,0.33,none
2b_reference,degraded_instruct,damaged_q3,q3_routed_tri_68,5600,0.8382,0.5884,0.9121,0.9493,0.1134,0.0443,0.3121,0.1014,0.5155,none
