model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
35b_a3b_moe,base,collapsed_q2_edge,q3_stability_tri_72,5600,0.5861,0.4177,0.7631,0.8714,0.1468,0.0354,0.3679,0.7059,0.3018,none
35b_a3b_moe,base,damaged_q2,q3_stability_tri_72,5600,0.8586,0.6246,0.9167,0.9559,0.0891,0.0387,0.2929,0.1314,0.5602,none
35b_a3b_moe,base,damaged_q3,q3_routed_tri_68,5600,0.9255,0.725,0.955,0.988,0.0579,0.0404,0.2095,0.0464,0.6805,none
35b_a3b_moe,base,damaged_q4,q4_generalist_pair_72_28,5600,0.9414,0.7768,0.9634,0.9932,0.0418,0.0225,0.1696,0.0486,0.7438,none
35b_a3b_moe,base,healthy_q6,q4_generalist_pair_72_28,5600,0.9493,0.8121,0.9672,0.9932,0.0327,0.0227,0.1307,0.0566,0.7845,none
35b_a3b_moe,base,healthy_q8,q4_generalist_pair_72_28,5600,0.9602,0.8391,0.9718,0.9896,0.0245,0.0225,0.1157,0.0491,0.8156,none
35b_a3b_moe,base,q8_k_m,q4_generalist_pair_72_28,5600,0.9632,0.8443,0.9733,0.9909,0.0193,0.0271,0.1093,0.0514,0.8218,none
35b_a3b_moe,degraded_instruct,base_f16,q4_generalist_pair_72_28,5600,0.9691,0.8518,0.9747,0.9896,0.0159,0.0295,0.1002,0.0534,0.8304,none
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,q3_stability_tri_72,5600,0.5741,0.4202,0.7547,0.8536,0.1425,0.045,0.352,0.7414,0.3032,none
35b_a3b_moe,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.8389,0.6023,0.9076,0.942,0.0964,0.0423,0.3057,0.1457,0.5332,none
35b_a3b_moe,degraded_instruct,damaged_q3,q3_routed_tri_68,5600,0.9229,0.7264,0.9558,0.9905,0.0587,0.0436,0.2002,0.0466,0.6817,none
35b_a3b_moe,degraded_instruct,damaged_q4,q3_routed_tri_68,5600,0.9409,0.7696,0.9626,0.9877,0.0437,0.0461,0.1564,0.048,0.7324,none
35b_a3b_moe,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9541,0.8098,0.9681,0.9864,0.0325,0.03,0.1371,0.045,0.7809,none
35b_a3b_moe,degraded_instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.958,0.83,0.9709,0.9896,0.025,0.0264,0.1196,0.0495,0.8052,none
35b_a3b_moe,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9639,0.8377,0.9727,0.9871,0.0207,0.0261,0.1157,0.0466,0.8147,none
35b_a3b_moe,instruct,base_f16,q4_generalist_pair_72_28,5600,0.9682,0.862,0.9742,0.9896,0.0182,0.0173,0.0986,0.053,0.8425,none
35b_a3b_moe,instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.7136,0.3793,0.8264,0.8479,0.125,0.2686,0.3966,0.2587,0.2434,none
35b_a3b_moe,instruct,damaged_q2,q3_stability_tri_72,5600,0.7818,0.5641,0.8745,0.9154,0.1032,0.03,0.3261,0.2655,0.4878,none
35b_a3b_moe,instruct,damaged_q3,q3_stability_tri_72,5600,0.9264,0.7182,0.9552,0.9896,0.0552,0.0336,0.2202,0.0471,0.675,none
35b_a3b_moe,instruct,damaged_q4,q3_stability_tri_72,5600,0.9425,0.7711,0.9641,0.9918,0.0434,0.0361,0.1641,0.0421,0.7356,none
35b_a3b_moe,instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9482,0.81,0.967,0.9907,0.0345,0.02,0.1414,0.0495,0.7819,none
35b_a3b_moe,instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9614,0.8382,0.9723,0.9886,0.0232,0.0164,0.1227,0.0452,0.8159,none
35b_a3b_moe,instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9607,0.8439,0.972,0.9889,0.022,0.0189,0.1129,0.0512,0.822,none
4b,base,base_f16,q4_generalist_pair_72_28,5600,0.9664,0.843,0.9741,0.9929,0.0196,0.0209,0.118,0.048,0.8211,none
4b,base,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.5605,0.2795,0.7412,0.8073,0.2014,0.2804,0.5016,0.4964,0.098,none
4b,base,damaged_q2,q3_stability_tri_72,5600,0.6134,0.4189,0.7731,0.8616,0.1782,0.0387,0.4104,0.5891,0.2954,none
4b,base,damaged_q3,q3_stability_tri_72,5600,0.8857,0.6418,0.9387,0.9879,0.0954,0.0418,0.2759,0.0454,0.5805,none
4b,base,damaged_q4,q3_stability_tri_72,5600,0.9164,0.7216,0.9525,0.9902,0.0661,0.0364,0.2096,0.0491,0.6753,none
4b,base,healthy_q6,q3_stability_tri_72,5600,0.9373,0.7793,0.963,0.99,0.0482,0.0382,0.148,0.0459,0.743,none
4b,base,healthy_q8,q4_generalist_pair_72_28,5600,0.9486,0.8089,0.9665,0.9893,0.0371,0.0187,0.1398,0.0471,0.7805,none
4b,base,q8_k_m,q4_generalist_pair_72_28,5600,0.957,0.823,0.9691,0.9891,0.0275,0.022,0.1284,0.0525,0.7975,none
4b,degraded_instruct,base_f16,q4_generalist_pair_72_28,5600,0.9627,0.8375,0.9732,0.9902,0.0227,0.0248,0.1148,0.0462,0.8142,none
4b,degraded_instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.5402,0.2704,0.7316,0.8011,0.207,0.2886,0.5034,0.5191,0.0843,none
4b,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.575,0.3943,0.7526,0.8354,0.1786,0.0425,0.4191,0.6564,0.2659,none
4b,degraded_instruct,damaged_q3,q3_stability_tri_72,5600,0.8784,0.6432,0.9344,0.9796,0.0971,0.04,0.2752,0.0557,0.5813,none
4b,degraded_instruct,damaged_q4,q3_stability_tri_72,5600,0.9143,0.7093,0.9507,0.9907,0.0675,0.0382,0.223,0.0511,0.661,none
4b,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9329,0.7718,0.96,0.9898,0.0493,0.0257,0.1655,0.0516,0.736,none
4b,degraded_instruct,healthy_q8,q3_stability_tri_72,5600,0.9577,0.8027,0.9701,0.9895,0.0273,0.0414,0.1382,0.0446,0.7729,none
4b,degraded_instruct,q8_k_m,q4_boundary_pair_72_28,5600,0.9577,0.8123,0.9705,0.9891,0.0277,0.0391,0.1273,0.0448,0.7838,none
4b,instruct,base_f16,q4_generalist_pair_72_28,5600,0.9613,0.8396,0.9721,0.9916,0.0214,0.02,0.1177,0.0525,0.8172,none
4b,instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.4423,0.23,0.6569,0.7232,0.2238,0.267,0.5332,0.8095,0.0264,none
4b,instruct,damaged_q2,q2_amplifier_low_echo,5600,0.7032,0.3582,0.8208,0.8373,0.1562,0.2718,0.4487,0.2107,0.2105,none
4b,instruct,damaged_q3,q3_stability_tri_72,5600,0.8557,0.6262,0.9219,0.9487,0.0995,0.0304,0.2868,0.0786,0.5635,none
4b,instruct,damaged_q4,q3_stability_tri_72,5600,0.9139,0.7018,0.9496,0.99,0.0698,0.0318,0.2325,0.0493,0.6534,none
4b,instruct,healthy_q6,q4_boundary_pair_72_28,5600,0.9341,0.7657,0.9603,0.9896,0.0502,0.0298,0.1668,0.0491,0.7289,none
4b,instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9454,0.807,0.9654,0.9888,0.0393,0.0173,0.1429,0.0471,0.7779,none
4b,instruct,q8_k_m,q3_stability_tri_72,5600,0.9543,0.8086,0.9682,0.9895,0.0318,0.0311,0.1363,0.0489,0.7795,none
9b,base,base_f16,q4_generalist_pair_72_28,5600,0.9646,0.8575,0.9742,0.9889,0.0204,0.0195,0.1014,0.0475,0.837,none
9b,base,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.6632,0.3404,0.8037,0.8518,0.1618,0.2959,0.4468,0.2957,0.1821,none
9b,base,damaged_q2,q3_stability_tri_72,5600,0.7327,0.5107,0.8482,0.9127,0.142,0.0382,0.3673,0.325,0.4148,none
9b,base,damaged_q3,q3_stability_tri_72,5600,0.9,0.6736,0.9432,0.9862,0.0807,0.0398,0.2539,0.0509,0.6185,none
9b,base,damaged_q4,q3_routed_tri_68,5600,0.9257,0.7341,0.9559,0.9916,0.0577,0.0366,0.1989,0.0505,0.691,none
9b,base,healthy_q6,q3_routed_tri_68,5600,0.9439,0.7889,0.9647,0.9902,0.0386,0.0361,0.1439,0.0536,0.756,none
9b,base,healthy_q8,q4_generalist_pair_72_28,5600,0.957,0.8113,0.9694,0.9882,0.0271,0.025,0.1407,0.0462,0.7845,none
9b,base,q8_k_m,q4_boundary_pair_72_28,5600,0.9598,0.8314,0.9724,0.9916,0.0243,0.0325,0.1146,0.0489,0.806,none
9b,degraded_instruct,base_f16,q4_generalist_pair_72_28,5600,0.965,0.8468,0.9745,0.9927,0.0204,0.0236,0.1068,0.0466,0.8251,none
9b,degraded_instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.6532,0.3275,0.7942,0.8477,0.1673,0.2884,0.463,0.3327,0.1659,none
9b,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.6995,0.4859,0.8298,0.8873,0.1495,0.0429,0.378,0.3764,0.3834,none
9b,degraded_instruct,damaged_q3,q3_stability_tri_72,5600,0.8909,0.6641,0.9406,0.9907,0.0909,0.0436,0.2552,0.0536,0.605,none
9b,degraded_instruct,damaged_q4,q3_routed_tri_68,5600,0.9243,0.7204,0.9537,0.9877,0.0573,0.0473,0.2061,0.0536,0.6745,none
9b,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9391,0.7823,0.9627,0.9921,0.0436,0.0248,0.1584,0.0521,0.749,none
9b,degraded_instruct,healthy_q8,q4_boundary_pair_72_28,5600,0.955,0.8127,0.9685,0.9895,0.028,0.0362,0.1273,0.0559,0.784,none
9b,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9523,0.8182,0.9686,0.9925,0.0309,0.0268,0.1271,0.0543,0.7907,none
9b,instruct,base_f16,q4_generalist_pair_72_28,5600,0.9659,0.8468,0.9744,0.9921,0.0187,0.0184,0.1123,0.0489,0.826,none
9b,instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.5529,0.2888,0.7363,0.7871,0.1895,0.2718,0.495,0.5202,0.1119,none
9b,instruct,damaged_q2,q3_stability_tri_72,5600,0.6034,0.4245,0.7713,0.8445,0.1527,0.0341,0.3952,0.618,0.3093,none
9b,instruct,damaged_q3,q3_stability_tri_72,5600,0.89,0.6657,0.9387,0.9805,0.087,0.0325,0.2632,0.0566,0.6092,none
9b,instruct,damaged_q4,q3_stability_tri_72,5600,0.9193,0.7223,0.9527,0.9905,0.063,0.0295,0.2139,0.0511,0.6778,none
9b,instruct,healthy_q6,q3_stability_tri_72,5600,0.9459,0.7807,0.9652,0.9946,0.0384,0.0323,0.1571,0.0512,0.7476,none
9b,instruct,healthy_q8,q3_stability_tri_72,5600,0.9514,0.8086,0.968,0.9893,0.0312,0.0305,0.1334,0.0504,0.7799,none
9b,instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9554,0.8241,0.9698,0.9891,0.0307,0.0204,0.1288,0.0446,0.7983,none
