model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,q8_k_m,q3_stability_tri_72,0.9591,0.827,0.973,0.0234,0.0436,0.1071
27b,degraded_instruct,q8_k_m,q4_boundary_pair_72_28,0.9582,0.8295,0.9719,0.0264,0.0371,0.1087
27b,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,0.9618,0.8329,0.9718,0.0214,0.0273,0.1193
27b,instruct,base_f16,q2_amplifier_low_echo,0.9355,0.5887,0.9423,0.0375,0.2745,0.1564
27b,instruct,base_f16,q3_routed_tri_68,0.9659,0.8471,0.9747,0.017,0.035,0.0971
27b,instruct,base_f16,q3_stability_tri_72,0.9652,0.8341,0.9747,0.0195,0.0387,0.1048
27b,instruct,base_f16,q4_boundary_pair_72_28,0.965,0.8488,0.9742,0.0207,0.0289,0.1025
27b,instruct,base_f16,q4_generalist_pair_72_28,0.9614,0.848,0.9732,0.0227,0.0171,0.1079
27b,instruct,collapsed_q2_edge,q2_amplifier_low_echo,0.6964,0.3666,0.8194,0.1507,0.2761,0.4316
27b,instruct,collapsed_q2_edge,q3_routed_tri_68,0.4188,0.3079,0.6557,0.1959,0.0377,0.4062
27b,instruct,collapsed_q2_edge,q3_stability_tri_72,0.4446,0.3191,0.6695,0.2032,0.0311,0.4248
27b,instruct,collapsed_q2_edge,q4_boundary_pair_72_28,0.2573,0.195,0.5238,0.2512,0.0275,0.4005
27b,instruct,collapsed_q2_edge,q4_generalist_pair_72_28,0.2239,0.1704,0.5074,0.2432,0.0159,0.4375
27b,instruct,damaged_q2,q2_amplifier_low_echo,0.8232,0.4273,0.8879,0.1164,0.2716,0.3775
27b,instruct,damaged_q2,q3_routed_tri_68,0.77,0.5586,0.8639,0.1175,0.0302,0.323
27b,instruct,damaged_q2,q3_stability_tri_72,0.7913,0.5616,0.8757,0.1173,0.0364,0.3307
27b,instruct,damaged_q2,q4_boundary_pair_72_28,0.5709,0.4279,0.752,0.1543,0.0273,0.3368
27b,instruct,damaged_q2,q4_generalist_pair_72_28,0.5298,0.3879,0.7342,0.1505,0.0198,0.3579
27b,instruct,damaged_q3,q2_amplifier_low_echo,0.8843,0.4993,0.9188,0.0821,0.2652,0.283
27b,instruct,damaged_q3,q3_routed_tri_68,0.9139,0.7068,0.9499,0.0659,0.0325,0.23
27b,instruct,damaged_q3,q3_stability_tri_72,0.9118,0.7079,0.9486,0.07,0.0275,0.2257
