model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,coding,560,0.7875,0.3875,0.8674,0.9143,0.1304,0.3196,0.3554,0.0911,0.2515,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,epistemic,560,0.825,0.4089,0.8885,0.9286,0.1071,0.2286,0.4232,0.0661,0.2939,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,forensic,560,0.7857,0.4054,0.8761,0.9857,0.1554,0.2804,0.4107,0.1089,0.2644,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,generalist,560,0.7232,0.3696,0.8412,0.8732,0.1321,0.2679,0.4446,0.1607,0.2328,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,math,560,0.7375,0.3839,0.8398,0.8786,0.1357,0.2714,0.4321,0.225,0.2431,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,planning,560,0.7786,0.4054,0.8674,0.9018,0.1393,0.2714,0.3304,0.0929,0.2782,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,rhetoric,560,0.7929,0.3893,0.8672,0.8857,0.1,0.2679,0.4304,0.1339,0.2646,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,spatial,560,0.7804,0.4393,0.8688,0.9,0.1357,0.2696,0.3321,0.1125,0.3124,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,adversarial,560,0.7268,0.4411,0.8554,0.9964,0.1589,0.0464,0.4518,0.3679,0.3296,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,boundary,560,0.7357,0.4661,0.8475,0.9857,0.1821,0.0446,0.4589,0.35,0.3483,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,coding,560,0.5589,0.4179,0.7414,0.85,0.1571,0.0429,0.3393,0.7804,0.296,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,epistemic,560,0.5429,0.3839,0.7459,0.85,0.1821,0.0268,0.3857,0.6286,0.2616,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,forensic,560,0.5893,0.4143,0.7623,0.9857,0.1643,0.0304,0.4214,0.7768,0.2864,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,generalist,560,0.5161,0.3607,0.7343,0.8125,0.1696,0.0429,0.4036,0.6839,0.2348,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,math,560,0.4839,0.3554,0.6914,0.8071,0.175,0.0411,0.4429,1.0464,0.2069,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,planning,560,0.6054,0.4589,0.7578,0.8232,0.1714,0.0393,0.3214,0.6643,0.3407,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,rhetoric,560,0.4696,0.3464,0.6905,0.825,0.1893,0.0375,0.4268,0.95,0.2005,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,spatial,560,0.5054,0.3732,0.7077,0.8054,0.1679,0.0357,0.3446,0.8732,0.2445,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,adversarial,560,0.7571,0.5,0.8733,0.9893,0.1339,0.0464,0.4036,0.3179,0.4024,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,boundary,560,0.7554,0.4607,0.8594,0.9893,0.1643,0.0571,0.4946,0.2982,0.3455,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,coding,560,0.5554,0.4375,0.7422,0.7839,0.1643,0.0661,0.3321,0.7054,0.3132,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,epistemic,560,0.5625,0.4018,0.7672,0.8607,0.15,0.0232,0.3786,0.5804,0.2928,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,forensic,560,0.6429,0.4286,0.781,0.975,0.175,0.0464,0.4107,0.6643,0.3007,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,generalist,560,0.5464,0.3857,0.7469,0.8143,0.1643,0.0518,0.4036,0.6339,0.2621,none
