model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q2,q4_generalist_pair_72_28,high,1400,0.6293,0.4571,0.7705,0.9043,0.1457,0.0186,0.3657,0.7107,0.3449,none
27b,base,damaged_q2,q4_generalist_pair_72_28,low,1400,0.7814,0.6079,0.9078,0.9779,0.0671,0.0064,0.2321,0.1829,0.5587,none
27b,base,damaged_q2,q4_generalist_pair_72_28,medium,1400,0.7086,0.5436,0.8431,0.9364,0.1121,0.0186,0.2921,0.42,0.4618,none
27b,base,damaged_q3,q2_amplifier_low_echo,extreme,1400,0.8671,0.38,0.8932,0.9921,0.0943,0.3593,0.4043,0.07,0.244,none
27b,base,damaged_q3,q2_amplifier_low_echo,high,1400,0.8936,0.5036,0.9221,0.9914,0.0829,0.285,0.2507,0.0514,0.3991,none
27b,base,damaged_q3,q2_amplifier_low_echo,low,1400,0.9086,0.6107,0.9439,0.9907,0.0557,0.195,0.1671,0.0343,0.5399,none
27b,base,damaged_q3,q2_amplifier_low_echo,medium,1400,0.9107,0.5521,0.9342,0.9886,0.0579,0.265,0.1943,0.05,0.4637,none
27b,base,damaged_q3,q3_routed_tri_68,extreme,1400,0.8879,0.5843,0.9322,0.9921,0.1057,0.07,0.3193,0.0564,0.5102,none
27b,base,damaged_q3,q3_routed_tri_68,high,1400,0.9107,0.6907,0.947,0.9857,0.0743,0.0393,0.24,0.0521,0.6388,none
27b,base,damaged_q3,q3_routed_tri_68,low,1400,0.9343,0.8079,0.9708,0.9964,0.0414,0.02,0.12,0.0257,0.7805,none
27b,base,damaged_q3,q3_routed_tri_68,medium,1400,0.9321,0.7607,0.96,0.9886,0.0514,0.0386,0.1679,0.0464,0.7218,none
27b,base,damaged_q3,q3_stability_tri_72,extreme,1400,0.92,0.61,0.9415,0.9929,0.0757,0.0621,0.3179,0.06,0.5464,none
27b,base,damaged_q3,q3_stability_tri_72,high,1400,0.9207,0.7057,0.9509,0.9929,0.0693,0.0321,0.2307,0.0514,0.6575,none
27b,base,damaged_q3,q3_stability_tri_72,low,1400,0.9243,0.8036,0.9655,0.985,0.0393,0.015,0.1221,0.0386,0.7771,none
27b,base,damaged_q3,q3_stability_tri_72,medium,1400,0.9457,0.7793,0.9631,0.9914,0.0429,0.0293,0.1586,0.0507,0.7453,none
27b,base,damaged_q3,q4_boundary_pair_72_28,extreme,1400,0.9057,0.5957,0.9342,0.9836,0.0829,0.0629,0.345,0.065,0.5274,none
27b,base,damaged_q3,q4_boundary_pair_72_28,high,1400,0.8993,0.6757,0.9403,0.9857,0.0864,0.0343,0.2371,0.0679,0.6206,none
27b,base,damaged_q3,q4_boundary_pair_72_28,low,1400,0.9121,0.7929,0.9623,0.9886,0.0464,0.0136,0.1236,0.0429,0.7642,none
27b,base,damaged_q3,q4_boundary_pair_72_28,medium,1400,0.9229,0.75,0.9564,0.985,0.0621,0.03,0.1707,0.0436,0.7095,none
27b,base,damaged_q3,q4_generalist_pair_72_28,extreme,1400,0.8771,0.5971,0.9279,0.985,0.1057,0.0436,0.3529,0.0621,0.5254,none
27b,base,damaged_q3,q4_generalist_pair_72_28,high,1400,0.8979,0.6771,0.9428,0.99,0.085,0.025,0.255,0.0557,0.6235,none
27b,base,damaged_q3,q4_generalist_pair_72_28,low,1400,0.9186,0.7943,0.9648,0.9914,0.0371,0.01,0.1364,0.0436,0.768,none
27b,base,damaged_q3,q4_generalist_pair_72_28,medium,1400,0.9107,0.7493,0.9545,0.9864,0.0686,0.0193,0.165,0.0464,0.7093,none
27b,base,damaged_q4,q2_amplifier_low_echo,extreme,1400,0.8829,0.4043,0.8996,0.9871,0.0814,0.3707,0.3364,0.07,0.2753,none
27b,base,damaged_q4,q2_amplifier_low_echo,high,1400,0.9107,0.5207,0.9272,0.9879,0.0621,0.2879,0.2343,0.0593,0.4228,none
27b,base,damaged_q4,q2_amplifier_low_echo,low,1400,0.9129,0.6207,0.9445,0.9843,0.0443,0.2286,0.1343,0.0379,0.5491,none
27b,base,damaged_q4,q2_amplifier_low_echo,medium,1400,0.9221,0.5986,0.9391,0.9871,0.0564,0.2293,0.1857,0.0443,0.5187,none
27b,base,damaged_q4,q3_routed_tri_68,extreme,1400,0.9221,0.6307,0.9447,0.985,0.0643,0.0729,0.2893,0.0614,0.5706,none
27b,base,damaged_q4,q3_routed_tri_68,high,1400,0.9414,0.745,0.9593,0.9907,0.0493,0.0343,0.2007,0.0493,0.7048,none
27b,base,damaged_q4,q3_routed_tri_68,low,1400,0.9343,0.8257,0.9718,0.9921,0.03,0.0229,0.1014,0.0364,0.8022,none
27b,base,damaged_q4,q3_routed_tri_68,medium,1400,0.9436,0.7821,0.9645,0.9929,0.0443,0.0307,0.155,0.0457,0.748,none
27b,base,damaged_q4,q3_stability_tri_72,extreme,1400,0.925,0.655,0.946,0.9893,0.0664,0.0721,0.2679,0.0643,0.596,none
27b,base,damaged_q4,q3_stability_tri_72,high,1400,0.9257,0.7343,0.9542,0.9871,0.0621,0.0371,0.195,0.0529,0.69,none
27b,base,damaged_q4,q3_stability_tri_72,low,1400,0.9407,0.8279,0.9734,0.9936,0.0271,0.0186,0.1093,0.0329,0.8056,none
27b,base,damaged_q4,q3_stability_tri_72,medium,1400,0.9364,0.7993,0.9641,0.9929,0.0536,0.03,0.1307,0.0414,0.7647,none
27b,base,damaged_q4,q4_boundary_pair_72_28,extreme,1400,0.9343,0.65,0.9498,0.9914,0.0586,0.0486,0.2921,0.0514,0.5968,none
27b,base,damaged_q4,q4_boundary_pair_72_28,high,1400,0.9157,0.7379,0.9539,0.9871,0.0686,0.0329,0.1871,0.0464,0.6934,none
27b,base,damaged_q4,q4_boundary_pair_72_28,low,1400,0.9314,0.8257,0.9713,0.9943,0.0286,0.015,0.1014,0.0414,0.804,none
27b,base,damaged_q4,q4_boundary_pair_72_28,medium,1400,0.925,0.7779,0.9589,0.9864,0.055,0.0257,0.1471,0.0514,0.7419,none
27b,base,damaged_q4,q4_generalist_pair_72_28,extreme,1400,0.9186,0.6707,0.9461,0.9907,0.0729,0.0457,0.2736,0.0543,0.6151,none
27b,base,damaged_q4,q4_generalist_pair_72_28,high,1400,0.9221,0.7371,0.9506,0.9886,0.0607,0.02,0.2086,0.0693,0.6948,none
27b,base,damaged_q4,q4_generalist_pair_72_28,low,1400,0.9457,0.8279,0.974,0.9936,0.0221,0.0079,0.1193,0.0336,0.8084,none
27b,base,damaged_q4,q4_generalist_pair_72_28,medium,1400,0.9393,0.8,0.9642,0.99,0.0464,0.0171,0.1486,0.0421,0.7687,none
27b,base,healthy_q6,q2_amplifier_low_echo,extreme,1400,0.8879,0.42,0.9043,0.99,0.0779,0.3864,0.265,0.0729,0.2945,none
27b,base,healthy_q6,q2_amplifier_low_echo,high,1400,0.9157,0.5243,0.9303,0.9871,0.0564,0.3043,0.21,0.0543,0.427,none
27b,base,healthy_q6,q2_amplifier_low_echo,low,1400,0.92,0.6236,0.9476,0.99,0.0479,0.2114,0.1371,0.0314,0.5544,none
27b,base,healthy_q6,q2_amplifier_low_echo,medium,1400,0.9321,0.6193,0.9445,0.9914,0.0436,0.2436,0.1464,0.05,0.5433,none
27b,base,healthy_q6,q3_routed_tri_68,extreme,1400,0.9514,0.7279,0.9588,0.99,0.04,0.065,0.2093,0.0636,0.6829,none
27b,base,healthy_q6,q3_routed_tri_68,high,1400,0.96,0.815,0.9699,0.9929,0.0321,0.0364,0.1329,0.0479,0.785,none
27b,base,healthy_q6,q3_routed_tri_68,low,1400,0.9479,0.8443,0.9775,0.9957,0.0229,0.0257,0.0836,0.0314,0.824,none
27b,base,healthy_q6,q3_routed_tri_68,medium,1400,0.9579,0.8421,0.9731,0.9936,0.03,0.0279,0.1021,0.0436,0.8172,none
27b,base,healthy_q6,q3_stability_tri_72,extreme,1400,0.9257,0.7243,0.9508,0.9914,0.0679,0.0629,0.1936,0.0686,0.6724,none
27b,base,healthy_q6,q3_stability_tri_72,high,1400,0.9543,0.7879,0.9666,0.995,0.04,0.0479,0.1421,0.0521,0.7523,none
27b,base,healthy_q6,q3_stability_tri_72,low,1400,0.9407,0.8593,0.9748,0.9857,0.0236,0.02,0.07,0.0357,0.8408,none
27b,base,healthy_q6,q3_stability_tri_72,medium,1400,0.9521,0.825,0.9703,0.99,0.035,0.0421,0.1036,0.045,0.7955,none
27b,base,healthy_q6,q4_boundary_pair_72_28,extreme,1400,0.9457,0.7257,0.9571,0.9907,0.05,0.0557,0.2057,0.0579,0.6802,none
27b,base,healthy_q6,q4_boundary_pair_72_28,high,1400,0.9521,0.7829,0.9643,0.9886,0.0393,0.0379,0.16,0.0514,0.7481,none
27b,base,healthy_q6,q4_boundary_pair_72_28,low,1400,0.94,0.845,0.9741,0.9871,0.0236,0.02,0.08,0.0364,0.8257,none
27b,base,healthy_q6,q4_boundary_pair_72_28,medium,1400,0.9521,0.8343,0.9674,0.9879,0.0329,0.0257,0.1071,0.0586,0.8078,none
27b,base,healthy_q6,q4_generalist_pair_72_28,extreme,1400,0.945,0.7307,0.9583,0.9871,0.0486,0.0464,0.205,0.0493,0.688,none
27b,base,healthy_q6,q4_generalist_pair_72_28,high,1400,0.9486,0.8,0.9647,0.9921,0.0421,0.0179,0.1579,0.0493,0.7687,none
27b,base,healthy_q6,q4_generalist_pair_72_28,low,1400,0.9364,0.8521,0.9723,0.9879,0.0236,0.0029,0.0886,0.0414,0.8353,none
27b,base,healthy_q6,q4_generalist_pair_72_28,medium,1400,0.9529,0.8386,0.9689,0.9914,0.0329,0.0136,0.115,0.0521,0.8142,none
