signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate_repeat,0.78,21,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+CHECKSUM+ECC+FRAME+CLOCK+CARRIER+CHECKSUM+ECC,0.8882,0.8935,0.8029,0.8209,0.0,0.0,0.0466,0.5907,0.4686,2.853,0.0213,0.8714
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+SUPPRESSION,0.8879,0.8945,0.7782,0.8225,0.0,0.0002,0.047,0.5291,0.6861,1.0443,0.0159,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+CHECKSUM+ECC+GAIN_CLAMP,0.8879,0.8924,0.7662,0.8223,0.0,0.0,0.0407,0.5546,0.6542,1.4254,0.0232,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC+STATE_BUFFER,0.8877,0.8942,0.7825,0.8379,0.0,0.0005,0.0462,0.577,0.6531,1.3943,0.0218,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CARRIER+ECC+SUPPRESSION+GAIN_CLAMP,0.887,0.8942,0.7654,0.8186,0.0,0.0005,0.045,0.5036,0.6495,1.3493,0.0209,0.8629
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+ECC+STATE_BUFFER,0.887,0.8928,0.7734,0.8229,0.0,0.0002,0.0429,0.5577,0.6571,1.4861,0.023,0.8629
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+SUPPRESSION+STATE_BUFFER,0.8868,0.8952,0.78,0.8295,0.0,0.0005,0.047,0.5357,0.6395,1.0873,0.0159,0.87
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+REDUNDANCY+SUPPRESSION,0.8866,0.8935,0.7805,0.8184,0.0,0.0007,0.0484,0.5336,0.6383,1.053,0.0168,0.8757
lora_candidate_repeat,0.78,17,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+STATE_BUFFER+FRAME+CLOCK+STATE_BUFFER,0.8866,0.8927,0.788,0.8341,0.0,0.0002,0.05,0.5895,0.5514,1.3155,0.0168,0.8714
lora_candidate_repeat,0.78,17,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+FRAME+CLOCK+CARRIER,0.8866,0.8943,0.8043,0.8357,0.0,0.0,0.0514,0.6,0.5501,1.2988,0.015,0.8686
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+STATE_BUFFER,0.8864,0.8911,0.7618,0.8314,0.0,0.0,0.0482,0.5605,0.6843,1.0596,0.0196,0.8657
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+REDUNDANCY+SUPPRESSION,0.8864,0.8972,0.7839,0.8264,0.0,0.0009,0.0454,0.5111,0.6535,1.4171,0.0207,0.8643
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+STATE_BUFFER+GAIN_CLAMP,0.8864,0.8927,0.7625,0.8307,0.0,0.0005,0.0454,0.5439,0.6829,0.9838,0.0196,0.8529
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+SUPPRESSION+GAIN_CLAMP,0.8862,0.8968,0.7861,0.8257,0.0,0.0002,0.0489,0.5132,0.6411,1.1223,0.0138,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+STATE_BUFFER+GAIN_CLAMP,0.8862,0.8941,0.7734,0.8382,0.0,0.0004,0.0462,0.5611,0.6401,1.0914,0.0168,0.8514
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+CARRIER+ECC+GAIN_CLAMP,0.8861,0.8934,0.7811,0.8196,0.0,0.0005,0.0423,0.5577,0.6513,1.3818,0.0163,0.8743
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CHECKSUM+SUPPRESSION,0.8861,0.896,0.7914,0.8266,0.0,0.0,0.0532,0.522,0.6446,1.19,0.0154,0.8714
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+STATE_BUFFER,0.8861,0.8927,0.7652,0.8339,0.0,0.0004,0.0448,0.5586,0.6943,1.2396,0.0184,0.8686
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+CARRIER+CHECKSUM+SUPPRESSION,0.8861,0.8951,0.7754,0.818,0.0,0.0002,0.0421,0.52,0.6408,1.1336,0.015,0.8657
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+GAIN_CLAMP,0.8861,0.8932,0.79,0.8207,0.0,0.0002,0.0468,0.5682,0.6833,1.005,0.0154,0.8643
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+CARRIER+ECC+SUPPRESSION,0.8861,0.8951,0.7802,0.8179,0.0,0.0,0.04,0.5368,0.6512,1.3755,0.018,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+STATE_BUFFER,0.8859,0.8946,0.7868,0.8321,0.0,0.0,0.0466,0.5675,0.6562,1.46,0.0225,0.8686
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+SUPPRESSION+GAIN_CLAMP,0.8859,0.8945,0.775,0.8182,0.0,0.0005,0.047,0.5129,0.6793,0.945,0.0141,0.8671
lora_candidate_repeat,0.78,13,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC,0.8859,0.8938,0.7729,0.8248,0.0,0.0004,0.0395,0.5577,0.7474,1.1287,0.0198,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+SUPPRESSION+STATE_BUFFER,0.8857,0.893,0.7564,0.8213,0.0,0.0002,0.0427,0.5182,0.6411,1.1434,0.0193,0.87
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CHECKSUM+STATE_BUFFER,0.8855,0.8948,0.7895,0.8327,0.0,0.0,0.0466,0.5696,0.6441,1.1663,0.0166,0.8586
lora_candidate_repeat,0.78,13,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+STATE_BUFFER,0.8854,0.8928,0.7798,0.8325,0.0,0.0007,0.0496,0.5668,0.7346,0.8886,0.0198,0.8586
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+SUPPRESSION+STATE_BUFFER,0.8852,0.8942,0.7662,0.8279,0.0,0.0004,0.0436,0.5302,0.6822,0.9546,0.0168,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CARRIER+CHECKSUM+ECC+STATE_BUFFER,0.8852,0.8904,0.7596,0.8225,0.0,0.0002,0.042,0.5682,0.6546,1.4421,0.0204,0.8557
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC+REDUNDANCY,0.8852,0.8928,0.787,0.8221,0.0,0.0011,0.0457,0.5705,0.6517,1.418,0.0202,0.8514
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+REDUNDANCY+GAIN_CLAMP,0.8852,0.8928,0.7632,0.8196,0.0,0.0005,0.042,0.5323,0.6536,1.3864,0.0202,0.84
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+CHECKSUM+ECC+SUPPRESSION,0.885,0.8936,0.7748,0.8148,0.0,0.0,0.043,0.5329,0.6573,1.477,0.0223,0.8671
