signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8352,0.868,0.745,0.7082,0.0,0.0045,0.0586,0.5396,0.8435,0.3902,0.012,0.8057
lora_candidate,0.78,6,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+GAIN_CLAMP,0.8352,0.8675,0.7502,0.7407,0.0,0.0139,0.0645,0.5636,0.8487,0.0,0.0,0.7986
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.835,0.8679,0.732,0.7471,0.0,0.0073,0.053,0.603,0.7649,0.6564,0.0088,0.7957
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8345,0.8672,0.753,0.7975,0.0,0.0159,0.0648,0.6861,0.7964,0.0,0.0,0.8043
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8341,0.8688,0.7396,0.7993,0.0,0.0037,0.0661,0.6905,0.7888,0.0,0.0,0.7957
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+PARITY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.833,0.8657,0.7137,0.7804,0.0,0.0132,0.0571,0.627,0.7143,0.0,0.0,0.8029
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8327,0.8672,0.7232,0.7825,0.0,0.0125,0.0582,0.6298,0.7136,0.0,0.0,0.8171
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8325,0.8925,0.7488,0.8707,0.6675,0.0039,0.218,0.1775,0.8547,0.4512,0.0595,0.7814
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8313,0.866,0.702,0.7748,0.0,0.007,0.055,0.6261,0.7421,0.3677,0.0096,0.7914
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION,0.8311,0.8662,0.7707,0.7332,0.0,0.0091,0.0545,0.6634,0.8419,0.5782,0.0134,0.8129
lora_candidate,0.78,9,FRAME+CLOCK+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.83,0.8654,0.6743,0.7829,0.0,0.0104,0.0543,0.5807,0.8129,0.4495,0.0152,0.7971
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8293,0.8675,0.7164,0.7589,0.0,0.0077,0.0679,0.5534,0.8083,0.0,0.0,0.8043
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8293,0.8834,0.7757,0.8934,0.6586,0.0037,0.2104,0.4902,0.8558,0.4562,0.0659,0.7757
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.828,0.8665,0.707,0.7514,0.0,0.0021,0.0666,0.5623,0.7973,0.0,0.0,0.8129
