substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,cyber_only,extreme,1600,0.0,0.0,0.0082,0.2975,0.9756,0.1087,0.9825,5.495,-0.6678,cascade
base,collapsed_q2_edge,cyber_only,high,1600,0.0037,0.0019,0.0335,0.3531,0.8838,0.0819,0.6687,4.6156,-0.5639,cascade
base,collapsed_q2_edge,cyber_only,low,1600,0.0187,0.0125,0.1905,0.56,0.3812,0.0537,0.3644,2.4956,-0.2666,cascade
base,collapsed_q2_edge,cyber_only,medium,1600,0.0112,0.01,0.0882,0.4525,0.6444,0.0681,0.4744,3.8256,-0.4262,cascade
base,collapsed_q2_edge,structural_only,extreme,1600,0.0013,0.0006,0.0605,0.3175,0.8269,0.0312,0.9344,4.3406,-0.5455,cascade
base,collapsed_q2_edge,structural_only,high,1600,0.0206,0.0131,0.1364,0.4238,0.6375,0.0119,0.6162,3.365,-0.398,cascade
base,collapsed_q2_edge,structural_only,low,1600,0.0881,0.0663,0.3561,0.5594,0.3,0.0025,0.325,1.7175,-0.1361,cascade
base,collapsed_q2_edge,structural_only,medium,1600,0.0575,0.0525,0.237,0.4656,0.4431,0.01,0.4825,2.7175,-0.2569,cascade
base,collapsed_q2_edge,tri_boundary_heavy,extreme,1600,0.0238,0.0112,0.1651,0.5369,0.6813,0.1138,0.9069,3.4719,-0.462,cascade
base,collapsed_q2_edge,tri_boundary_heavy,high,1600,0.0638,0.0419,0.2433,0.5944,0.5288,0.0762,0.5969,2.7963,-0.3196,cascade
base,collapsed_q2_edge,tri_boundary_heavy,low,1600,0.1844,0.1294,0.5083,0.7538,0.2525,0.0506,0.3044,1.2737,-0.0445,cascade
base,collapsed_q2_edge,tri_boundary_heavy,medium,1600,0.1331,0.1056,0.3672,0.6569,0.3806,0.0675,0.4081,2.185,-0.164,cascade
base,collapsed_q2_edge,tri_cognitive_bridge,extreme,1600,0.0156,0.0081,0.1329,0.53,0.7163,0.0994,0.9294,3.7225,-0.4871,cascade
base,collapsed_q2_edge,tri_cognitive_bridge,high,1600,0.04,0.0275,0.2178,0.6162,0.5863,0.0619,0.63,2.8794,-0.3551,cascade
base,collapsed_q2_edge,tri_cognitive_bridge,low,1600,0.1537,0.1069,0.4808,0.7594,0.2556,0.0306,0.325,1.3925,-0.0716,cascade
base,collapsed_q2_edge,tri_cognitive_bridge,medium,1600,0.0938,0.0719,0.3398,0.66,0.4012,0.0525,0.4575,2.2994,-0.2106,cascade
base,collapsed_q2_edge,tri_cognitive_heavy,extreme,1600,0.01,0.0044,0.1053,0.5244,0.7575,0.0862,0.9481,4.0237,-0.5172,cascade
base,collapsed_q2_edge,tri_cognitive_heavy,high,1600,0.0244,0.0175,0.1735,0.6069,0.6125,0.0594,0.6288,3.2125,-0.3891,cascade
base,collapsed_q2_edge,tri_cognitive_heavy,low,1600,0.1037,0.0694,0.421,0.7462,0.2781,0.0344,0.3444,1.5906,-0.128,cascade
base,collapsed_q2_edge,tri_cognitive_heavy,medium,1600,0.0756,0.0612,0.2925,0.6775,0.4512,0.0381,0.4619,2.5112,-0.2443,cascade
base,collapsed_q2_edge,tri_cyber_heavy,extreme,1600,0.0244,0.0138,0.1436,0.5312,0.71,0.1144,0.8781,3.7219,-0.4785,cascade
base,collapsed_q2_edge,tri_cyber_heavy,high,1600,0.06,0.0387,0.2163,0.5906,0.5725,0.0737,0.5856,3.025,-0.3458,cascade
base,collapsed_q2_edge,tri_cyber_heavy,low,1600,0.125,0.0838,0.4339,0.7319,0.2838,0.0525,0.3344,1.5275,-0.115,cascade
base,collapsed_q2_edge,tri_cyber_heavy,medium,1600,0.1044,0.0794,0.3308,0.66,0.4144,0.08,0.4106,2.3656,-0.2121,cascade
base,collapsed_q2_edge,tri_equal_routed,extreme,1600,0.0138,0.0069,0.1124,0.5138,0.7588,0.0969,0.9169,3.9287,-0.5099,cascade
base,collapsed_q2_edge,tri_equal_routed,high,1600,0.0338,0.0181,0.186,0.595,0.6031,0.0737,0.5819,3.16,-0.3821,cascade
base,collapsed_q2_edge,tri_equal_routed,low,1600,0.1081,0.0806,0.4241,0.7425,0.2762,0.0356,0.3262,1.5756,-0.1143,cascade
base,collapsed_q2_edge,tri_equal_routed,medium,1600,0.0719,0.0563,0.3033,0.6669,0.44,0.0519,0.4606,2.4737,-0.2467,cascade
base,collapsed_q2_edge,tri_naive_equal_all_fire,extreme,1600,0.03,0.01,0.2209,0.6006,0.5787,0.3956,0.9981,2.9925,-0.4722,cascade
