signal,signal_strength,bundle_size,bundle,pass_rate,mean_score,classified_rate,cascade_rate,avg_distractors,worst_task_rate
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1875,0.5461,0.6562,0.2354,0.684,0.0778
saturated,0.95,5,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN,0.1875,0.5372,0.6993,0.1965,0.5965,0.0778
very_strong,0.7,5,EXTRACT_GIVENS+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1875,0.5344,0.6958,0.2021,0.4882,0.05
strong,0.46,5,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1875,0.4605,0.5861,0.2354,0.4306,0.0222
strong,0.46,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1875,0.4355,0.5903,0.2646,0.6042,0.0056
saturated,0.95,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES,0.1861,0.5464,0.6743,0.2188,0.6403,0.0833
saturated,0.95,4,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+DANGER_CHECK,0.1861,0.5255,0.7125,0.209,0.4951,0.0722
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+COMPARE_AXES+DANGER_CHECK,0.1861,0.524,0.6056,0.2306,0.6347,0.0611
standard,0.24,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1861,0.4513,0.6986,0.2431,0.4306,0.0556
strong,0.46,6,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1861,0.4794,0.6333,0.2083,0.5354,0.0278
very_strong,0.7,5,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.1861,0.5063,0.6097,0.2326,0.5431,0.0
strong,0.46,6,SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1847,0.4883,0.5972,0.2194,0.4778,0.0333
standard,0.24,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1847,0.4382,0.6854,0.2333,0.4222,0.0167
strong,0.46,5,MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.1847,0.391,0.5639,0.2715,0.5306,0.0056
strong,0.46,8,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.184,0.4879,0.5799,0.2264,0.65,0.1111
saturated,0.95,5,EXTRACT_GIVENS+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.184,0.5312,0.6993,0.2111,0.5472,0.0778
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+STEP_COMPUTE+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.184,0.5254,0.6535,0.2076,0.6549,0.05
very_strong,0.7,4,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+DANGER_CHECK,0.184,0.523,0.6965,0.2118,0.4618,0.05
very_strong,0.7,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.184,0.4952,0.6403,0.2062,0.6021,0.0167
very_strong,0.7,4,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND,0.184,0.492,0.6215,0.2396,0.4597,0.0056
strong,0.46,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND,0.184,0.4065,0.5465,0.3021,0.4792,0.0
very_strong,0.7,4,EXTRACT_GIVENS+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1833,0.5356,0.7264,0.1903,0.4313,0.0944
very_strong,0.7,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+DANGER_CHECK,0.1833,0.5218,0.6285,0.2201,0.5437,0.0667
very_strong,0.7,6,MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1833,0.5161,0.616,0.2056,0.5757,0.0667
very_strong,0.7,6,SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1833,0.5295,0.6083,0.1958,0.5951,0.0556
strong,0.46,6,EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1833,0.5128,0.6333,0.2042,0.4583,0.0389
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1826,0.5085,0.6438,0.2243,0.6326,0.0556
strong,0.46,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES,0.1826,0.4661,0.6181,0.2653,0.5333,0.0222
very_strong,0.7,4,EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES,0.1826,0.5033,0.6208,0.2507,0.4278,0.0111
strong,0.46,4,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.1826,0.4468,0.5979,0.2576,0.3715,0.0056
strong,0.46,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1819,0.4531,0.6243,0.2486,0.5271,0.0333
very_strong,0.7,5,SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1819,0.4508,0.6312,0.2458,0.5847,0.0222
strong,0.46,6,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1819,0.4317,0.6097,0.2375,0.5507,0.0167
saturated,0.95,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1819,0.4252,0.6028,0.2646,0.6646,0.0
strong,0.46,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1812,0.4963,0.6215,0.2271,0.6319,0.0833
very_strong,0.7,6,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1812,0.5004,0.5715,0.2069,0.5903,0.0667
very_strong,0.7,5,SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1812,0.5222,0.6174,0.2042,0.5028,0.0611
saturated,0.95,6,EXTRACT_GIVENS+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1812,0.4834,0.6479,0.2299,0.6896,0.0389
saturated,0.95,5,SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1812,0.4686,0.6715,0.2264,0.6396,0.0222
strong,0.46,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN,0.1812,0.4665,0.6389,0.2465,0.5368,0.0167
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1806,0.4353,0.5875,0.2417,0.791,0.0222
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1799,0.5072,0.6326,0.2062,0.5611,0.1278
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1799,0.4715,0.641,0.2333,0.5806,0.0444
standard,0.24,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1799,0.4418,0.6438,0.2486,0.3972,0.0167
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1799,0.4875,0.6292,0.2042,0.7257,0.0111
standard,0.24,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.1799,0.4189,0.6507,0.2479,0.3778,0.0111
strong,0.46,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+DANGER_CHECK,0.1799,0.4106,0.5681,0.2847,0.4792,0.0056
strong,0.46,5,EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.1799,0.4775,0.5972,0.2278,0.4215,0.0
very_strong,0.7,5,EXTRACT_GIVENS+MAP_RELATION+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1792,0.5135,0.6535,0.2028,0.459,0.0833
strong,0.46,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1792,0.4945,0.6257,0.2056,0.5993,0.05
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1792,0.466,0.5799,0.2465,0.6,0.0333
strong,0.46,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1792,0.4149,0.5604,0.2771,0.5188,0.0056
saturated,0.95,3,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT,0.1792,0.4233,0.5618,0.2681,0.4389,0.0
saturated,0.95,4,EXTRACT_GIVENS+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1785,0.5316,0.7111,0.2035,0.3903,0.1
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1785,0.4714,0.6062,0.2632,0.6438,0.0389
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1785,0.4059,0.5451,0.2882,0.7292,0.0222
saturated,0.95,5,UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1785,0.4632,0.6528,0.2278,0.6847,0.0056
strong,0.46,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1785,0.4603,0.5528,0.2292,0.6243,0.0056
strong,0.46,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT,0.1785,0.4306,0.5806,0.2757,0.4785,0.0056
very_strong,0.7,5,MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1778,0.5124,0.6236,0.2035,0.5243,0.0778
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+STEP_COMPUTE+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1778,0.507,0.6188,0.209,0.6382,0.05
strong,0.46,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES,0.1778,0.4357,0.5972,0.2764,0.5104,0.0056
very_strong,0.7,4,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.1778,0.4562,0.5924,0.2444,0.4778,0.0
very_strong,0.7,3,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT,0.1778,0.4216,0.5611,0.2847,0.3868,0.0
strong,0.46,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1771,0.4342,0.6333,0.2729,0.5417,0.0111
saturated,0.95,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1764,0.5051,0.6896,0.2278,0.5646,0.0556
very_strong,0.7,6,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1764,0.4924,0.5729,0.2042,0.5889,0.0167
saturated,0.95,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1764,0.4809,0.6639,0.2403,0.5604,0.0111
strong,0.46,6,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.1764,0.4302,0.5757,0.2687,0.5813,0.0056
saturated,0.95,6,SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN,0.1764,0.5002,0.634,0.2208,0.7222,0.0
strong,0.46,6,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1757,0.5074,0.6847,0.2132,0.5132,0.0667
strong,0.46,7,SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1757,0.4593,0.6069,0.2326,0.6139,0.0389
strong,0.46,8,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1757,0.4597,0.5757,0.2153,0.6847,0.0278
strong,0.46,5,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.175,0.4818,0.6444,0.225,0.4146,0.0556
very_strong,0.7,6,SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.175,0.5061,0.5326,0.2264,0.6194,0.0333
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND+DANGER_CHECK,0.175,0.4682,0.5882,0.2444,0.5417,0.0333
strong,0.46,4,EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.175,0.4652,0.6528,0.241,0.3507,0.0111
very_strong,0.7,4,MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+DANGER_CHECK,0.175,0.4516,0.6014,0.2549,0.4806,0.0111
strong,0.46,5,MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.175,0.4547,0.634,0.2361,0.4632,0.0056
saturated,0.95,6,SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1743,0.5225,0.6375,0.216,0.7132,0.0778
standard,0.24,9,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1743,0.4501,0.6764,0.2382,0.4875,0.0611
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND+DANGER_CHECK,0.1743,0.5078,0.6181,0.2243,0.6389,0.0556
saturated,0.95,4,EXTRACT_GIVENS+UNIT_TRACK+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.1743,0.4816,0.6813,0.225,0.4917,0.0333
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1743,0.5,0.6535,0.2243,0.7021,0.0278
saturated,0.95,6,MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1743,0.492,0.6326,0.2097,0.7493,0.0111
saturated,0.95,5,EXTRACT_GIVENS+STEP_COMPUTE+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1743,0.4513,0.6021,0.25,0.6507,0.0111
strong,0.46,7,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1743,0.4537,0.5535,0.2472,0.5764,0.0
very_strong,0.7,7,UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1736,0.5107,0.6042,0.2056,0.7215,0.0667
very_strong,0.7,6,SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1736,0.496,0.5806,0.2111,0.6569,0.0222
saturated,0.95,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1736,0.464,0.6194,0.2486,0.5514,0.0222
saturated,0.95,6,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1736,0.5093,0.6396,0.2222,0.6562,0.0167
very_strong,0.7,4,EXTRACT_GIVENS+MAP_RELATION+UNCERTAINTY_BOUND+DANGER_CHECK,0.1736,0.4781,0.6167,0.2333,0.4056,0.0111
saturated,0.95,4,SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT,0.1736,0.4765,0.5771,0.2444,0.5375,0.0056
saturated,0.95,4,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES,0.1736,0.487,0.6431,0.2507,0.5743,0.0
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+COMPARE_AXES,0.1736,0.4475,0.5437,0.291,0.7,0.0
very_strong,0.7,6,MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1729,0.5081,0.5778,0.2139,0.6188,0.0611
saturated,0.95,7,SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1729,0.5277,0.625,0.2062,0.841,0.0556
saturated,0.95,5,UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1729,0.4967,0.6306,0.2097,0.6222,0.05
strong,0.46,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.1722,0.4958,0.6521,0.2451,0.5451,0.0889
strong,0.46,6,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1722,0.4719,0.6361,0.2347,0.5,0.0389
very_strong,0.7,6,SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1722,0.4431,0.6181,0.2604,0.7097,0.0167
strong,0.46,6,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.1722,0.4209,0.5153,0.25,0.5229,0.0167
strong,0.46,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+UNCERTAINTY_BOUND+DANGER_CHECK,0.1722,0.4598,0.5819,0.2354,0.4813,0.0111
saturated,0.95,5,SOURCE_BOUNDARY+UNIT_TRACK+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1722,0.4109,0.6299,0.2319,0.6917,0.0111
strong,0.46,4,MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT,0.1722,0.3688,0.5146,0.3187,0.4472,0.0
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.1715,0.4907,0.634,0.2507,0.5882,0.0944
saturated,0.95,6,STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1715,0.513,0.6632,0.1944,0.6854,0.0667
very_strong,0.7,7,SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1715,0.4618,0.5889,0.2389,0.8153,0.0278
very_strong,0.7,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1715,0.4003,0.5451,0.2792,0.5868,0.0111
saturated,0.95,4,EXTRACT_GIVENS+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.1715,0.4931,0.6431,0.2306,0.5139,0.0056
saturated,0.95,5,EXTRACT_GIVENS+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1715,0.4162,0.6292,0.2556,0.5938,0.0056
standard,0.24,10,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1708,0.4503,0.6403,0.2153,0.5542,0.0944
saturated,0.95,4,EXTRACT_GIVENS+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.1708,0.5114,0.6882,0.2097,0.4736,0.0889
strong,0.46,5,EXTRACT_GIVENS+SOURCE_BOUNDARY+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1708,0.4467,0.6257,0.2507,0.4444,0.0444
standard,0.24,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1708,0.4146,0.6493,0.2424,0.4083,0.0222
very_strong,0.7,6,SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1701,0.5045,0.5986,0.2424,0.6201,0.0667
strong,0.46,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.1701,0.4484,0.5979,0.2444,0.6083,0.05
strong,0.46,4,EXTRACT_GIVENS+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.1701,0.4748,0.6618,0.241,0.3757,0.0444
saturated,0.95,5,MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.1701,0.5107,0.6292,0.1951,0.5514,0.0389
strong,0.46,7,SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1701,0.4615,0.5965,0.2222,0.5632,0.0222
saturated,0.95,4,MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+DANGER_CHECK,0.1701,0.4566,0.6188,0.234,0.534,0.0167
strong,0.46,5,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+UNCERTAINTY_BOUND+DANGER_CHECK,0.1701,0.4435,0.5951,0.2639,0.4271,0.0056
strong,0.46,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+COMPARE_AXES+DANGER_CHECK,0.1701,0.4073,0.5639,0.2965,0.5875,0.0056
saturated,0.95,4,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+UNCERTAINTY_BOUND,0.1701,0.447,0.5583,0.2625,0.4882,0.0
saturated,0.95,5,SOURCE_BOUNDARY+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.1694,0.5149,0.6243,0.1861,0.6021,0.05
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1694,0.5178,0.6681,0.2104,0.6937,0.0389
saturated,0.95,3,EXTRACT_GIVENS+VERIFY_RESULT+UNCERTAINTY_BOUND,0.1694,0.4949,0.6507,0.209,0.3333,0.0111
very_strong,0.7,5,EXTRACT_GIVENS+UNIT_TRACK+STEP_COMPUTE+UNCERTAINTY_BOUND+DANGER_CHECK,0.1694,0.4561,0.6028,0.2701,0.5743,0.0111
saturated,0.95,5,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+COMPARE_AXES+DANGER_CHECK,0.1694,0.4635,0.6271,0.234,0.6458,0.0056
strong,0.46,6,MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.1694,0.4246,0.5653,0.2611,0.575,0.0
saturated,0.95,7,UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.1688,0.5285,0.6639,0.1965,0.8125,0.0556
