model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,instruct,damaged_q4,cognitive_structural_25_75,5600,0.9279,0.752,0.9566,0.9896,0.058,0.0184,0.1898,0.0477,0.7133,none
27b,instruct,damaged_q4,cyber_structural_25_75,5600,0.9266,0.7482,0.9566,0.9904,0.0564,0.0232,0.1888,0.0518,0.709,none
27b,instruct,damaged_q4,q2_structural_amplifier,5600,0.9041,0.5375,0.9282,0.9907,0.0679,0.2575,0.2371,0.0471,0.4443,none
27b,instruct,damaged_q4,routed_tri_structural_60,5600,0.9291,0.7305,0.9555,0.9888,0.0555,0.0429,0.1991,0.0514,0.6868,none
27b,instruct,damaged_q4,routed_tri_structural_65,5600,0.9373,0.7473,0.9601,0.9888,0.0482,0.0414,0.1859,0.0439,0.7075,none
27b,instruct,damaged_q4,stability_first_tri_70,5600,0.9332,0.7507,0.9593,0.9921,0.0504,0.0352,0.1827,0.05,0.7115,none
27b,instruct,healthy_q6,cognitive_structural_25_75,5600,0.9509,0.8125,0.9673,0.9898,0.0345,0.0184,0.1421,0.0479,0.7847,none
27b,instruct,healthy_q6,cyber_structural_25_75,5600,0.9513,0.8087,0.9674,0.988,0.0348,0.0223,0.1395,0.0443,0.7805,none
27b,instruct,healthy_q6,q2_structural_amplifier,5600,0.9125,0.5455,0.9318,0.9875,0.0577,0.2821,0.1879,0.0477,0.4544,none
27b,instruct,healthy_q6,routed_tri_structural_60,5600,0.9477,0.7823,0.9646,0.9877,0.0361,0.0405,0.1512,0.0521,0.7487,none
27b,instruct,healthy_q6,routed_tri_structural_65,5600,0.942,0.7848,0.9643,0.9898,0.0418,0.0354,0.1479,0.0477,0.751,none
27b,instruct,healthy_q6,stability_first_tri_70,5600,0.9436,0.7916,0.9645,0.9857,0.0379,0.0348,0.1412,0.0498,0.7595,none
27b,instruct,healthy_q8,cognitive_structural_25_75,5600,0.9557,0.8295,0.9698,0.9905,0.0282,0.017,0.1261,0.0511,0.805,none
