model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q3,routed_tri_structural_65,extreme,1400,0.8971,0.6007,0.9337,0.99,0.0914,0.0693,0.3386,0.0636,0.5292,none
27b,base,damaged_q3,routed_tri_structural_65,high,1400,0.9186,0.7129,0.9524,0.9929,0.0707,0.0393,0.2114,0.0479,0.6645,none
27b,base,damaged_q3,routed_tri_structural_65,low,1400,0.9286,0.7807,0.967,0.9957,0.0443,0.0293,0.1386,0.0314,0.7489,none
27b,base,damaged_q3,routed_tri_structural_65,medium,1400,0.9236,0.7471,0.9583,0.9936,0.0607,0.0329,0.1779,0.0436,0.7059,none
27b,base,damaged_q3,stability_first_tri_70,extreme,1400,0.8893,0.5607,0.9306,0.985,0.095,0.0729,0.355,0.0614,0.4862,none
27b,base,damaged_q3,stability_first_tri_70,high,1400,0.9193,0.6957,0.9502,0.9907,0.0679,0.0343,0.2479,0.0493,0.6462,none
27b,base,damaged_q3,stability_first_tri_70,low,1400,0.9257,0.7993,0.9674,0.9921,0.0393,0.0229,0.1236,0.0364,0.7712,none
27b,base,damaged_q3,stability_first_tri_70,medium,1400,0.9243,0.7457,0.9571,0.9929,0.0621,0.0307,0.1814,0.0457,0.7041,none
27b,base,damaged_q4,cognitive_structural_25_75,extreme,1400,0.9179,0.6357,0.9421,0.9857,0.0764,0.0464,0.2993,0.0543,0.5768,none
27b,base,damaged_q4,cognitive_structural_25_75,high,1400,0.9257,0.7486,0.95,0.9886,0.0686,0.0114,0.195,0.0657,0.7068,none
27b,base,damaged_q4,cognitive_structural_25_75,low,1400,0.935,0.8386,0.9698,0.9857,0.0357,0.0043,0.1071,0.0307,0.8169,none
27b,base,damaged_q4,cognitive_structural_25_75,medium,1400,0.9286,0.78,0.9603,0.9936,0.0521,0.0129,0.1636,0.0514,0.7461,none
27b,base,damaged_q4,cyber_structural_25_75,extreme,1400,0.9186,0.6514,0.9427,0.9893,0.0721,0.0493,0.2943,0.0643,0.5932,none
27b,base,damaged_q4,cyber_structural_25_75,high,1400,0.9343,0.7471,0.9557,0.9907,0.0593,0.0286,0.1993,0.0507,0.7052,none
27b,base,damaged_q4,cyber_structural_25_75,low,1400,0.9436,0.8514,0.9749,0.9929,0.03,0.0143,0.0871,0.0286,0.8312,none
27b,base,damaged_q4,cyber_structural_25_75,medium,1400,0.9364,0.7979,0.9641,0.9914,0.0479,0.025,0.1371,0.0464,0.7652,none
27b,base,damaged_q4,q2_structural_amplifier,extreme,1400,0.8914,0.4207,0.9059,0.9929,0.0807,0.3486,0.3336,0.0536,0.2974,none
27b,base,damaged_q4,q2_structural_amplifier,high,1400,0.9007,0.4936,0.9222,0.9893,0.0729,0.305,0.2529,0.0564,0.3877,none
27b,base,damaged_q4,q2_structural_amplifier,low,1400,0.9179,0.6314,0.9481,0.9893,0.0529,0.2029,0.1336,0.0271,0.563,none
27b,base,damaged_q4,q2_structural_amplifier,medium,1400,0.91,0.5757,0.9368,0.9864,0.0614,0.2664,0.165,0.04,0.4888,none
27b,base,damaged_q4,routed_tri_structural_60,extreme,1400,0.9343,0.6521,0.9493,0.9864,0.0529,0.07,0.2886,0.0571,0.5963,none
27b,base,damaged_q4,routed_tri_structural_60,high,1400,0.9379,0.7257,0.956,0.9893,0.0507,0.0429,0.2064,0.0607,0.6824,none
27b,base,damaged_q4,routed_tri_structural_60,low,1400,0.93,0.7979,0.9682,0.9893,0.0336,0.0257,0.1221,0.0371,0.771,none
27b,base,damaged_q4,routed_tri_structural_60,medium,1400,0.9371,0.7779,0.9613,0.9864,0.05,0.0429,0.1386,0.0514,0.7406,none
27b,base,damaged_q4,routed_tri_structural_65,extreme,1400,0.9171,0.6421,0.9441,0.9886,0.0714,0.0864,0.2686,0.0629,0.5788,none
27b,base,damaged_q4,routed_tri_structural_65,high,1400,0.9229,0.7407,0.9542,0.9907,0.0679,0.0429,0.1821,0.0521,0.6946,none
27b,base,damaged_q4,routed_tri_structural_65,low,1400,0.9279,0.8043,0.9678,0.9907,0.0321,0.025,0.1121,0.0443,0.7785,none
27b,base,damaged_q4,routed_tri_structural_65,medium,1400,0.9414,0.7893,0.9642,0.9914,0.0393,0.0393,0.14,0.0579,0.7555,none
27b,base,damaged_q4,stability_first_tri_70,extreme,1400,0.8971,0.6429,0.9375,0.9914,0.095,0.0664,0.2614,0.0686,0.5767,none
