model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
9b,base,damaged_q3,stability_first_tri_70,5600,0.8996,0.67,0.943,0.9862,0.0809,0.0427,0.2554,0.0511,0.6142,none
9b,base,damaged_q4,cognitive_structural_25_75,5600,0.9189,0.7295,0.9529,0.9902,0.0621,0.0187,0.208,0.0539,0.6877,none
9b,base,healthy_q6,stability_first_tri_70,5600,0.9459,0.782,0.9657,0.9923,0.0357,0.0395,0.1539,0.0512,0.7485,none
9b,base,healthy_q8,cognitive_structural_25_75,5600,0.9596,0.828,0.9707,0.9927,0.0257,0.018,0.1298,0.052,0.8037,none
9b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.6445,0.3196,0.7877,0.8366,0.1645,0.2952,0.4691,0.3502,0.1562,none
9b,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.6984,0.4964,0.8273,0.8875,0.1429,0.0466,0.3604,0.408,0.395,none
9b,degraded_instruct,damaged_q3,routed_tri_structural_65,5600,0.8961,0.667,0.9425,0.988,0.0825,0.0439,0.2589,0.0532,0.6101,none
9b,degraded_instruct,damaged_q4,cyber_structural_25_75,5600,0.9161,0.7261,0.9528,0.9895,0.0648,0.0354,0.1973,0.0521,0.6812,none
9b,degraded_instruct,healthy_q6,cognitive_structural_25_75,5600,0.9452,0.7895,0.9649,0.9895,0.0396,0.0252,0.1584,0.0446,0.7576,none
9b,degraded_instruct,healthy_q8,cognitive_structural_25_75,5600,0.9529,0.8086,0.9678,0.9893,0.0307,0.0252,0.14,0.0493,0.7807,none
9b,instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.535,0.2691,0.7198,0.773,0.19,0.2695,0.513,0.582,0.0881,none
9b,instruct,damaged_q2,stability_first_tri_70,5600,0.5886,0.422,0.7589,0.8396,0.167,0.0311,0.3889,0.6637,0.3014,none
9b,instruct,damaged_q3,stability_first_tri_70,5600,0.8895,0.6639,0.9391,0.982,0.0893,0.0323,0.2637,0.0523,0.607,none
9b,instruct,damaged_q4,cognitive_structural_25_75,5600,0.9214,0.7302,0.953,0.9905,0.0639,0.0204,0.2127,0.0496,0.6874,none
9b,instruct,healthy_q6,cyber_structural_25_75,5600,0.9384,0.7789,0.9621,0.9914,0.0446,0.028,0.1613,0.0505,0.7445,none
9b,instruct,healthy_q8,cognitive_structural_25_75,5600,0.9504,0.8191,0.9683,0.9927,0.0332,0.0163,0.1359,0.0491,0.7926,none
