model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,healthy_q8,cognitive_structural_25_75,0.9637,0.8391,0.9723,0.0239,0.0238,0.1159
27b,degraded_instruct,healthy_q8,cyber_structural_25_75,0.958,0.8266,0.9717,0.0261,0.0407,0.1096
27b,degraded_instruct,healthy_q8,q2_structural_amplifier,0.9254,0.5593,0.9368,0.047,0.2896,0.1718
27b,degraded_instruct,healthy_q8,routed_tri_structural_60,0.9545,0.7984,0.9699,0.03,0.0529,0.1221
27b,degraded_instruct,healthy_q8,routed_tri_structural_65,0.96,0.8061,0.9703,0.0243,0.0482,0.1261
27b,degraded_instruct,healthy_q8,stability_first_tri_70,0.9521,0.8002,0.9691,0.0318,0.053,0.123
27b,instruct,collapsed_q2_edge,cognitive_structural_25_75,0.2495,0.1964,0.5233,0.2414,0.0184,0.418
27b,instruct,collapsed_q2_edge,cyber_structural_25_75,0.2757,0.205,0.5419,0.2348,0.028,0.395
27b,instruct,collapsed_q2_edge,q2_structural_amplifier,0.6784,0.3495,0.8092,0.1509,0.2786,0.4361
27b,instruct,collapsed_q2_edge,routed_tri_structural_60,0.3588,0.2666,0.6071,0.2068,0.0479,0.4157
27b,instruct,collapsed_q2_edge,routed_tri_structural_65,0.378,0.2748,0.6326,0.2055,0.0407,0.4121
27b,instruct,collapsed_q2_edge,stability_first_tri_70,0.437,0.3309,0.6689,0.1895,0.0329,0.3839
27b,instruct,damaged_q2,cognitive_structural_25_75,0.5623,0.4184,0.7493,0.1459,0.0186,0.365
27b,instruct,damaged_q2,cyber_structural_25_75,0.5805,0.433,0.7581,0.1496,0.0266,0.3514
27b,instruct,damaged_q2,q2_structural_amplifier,0.8186,0.4246,0.8855,0.1138,0.2802,0.3686
27b,instruct,damaged_q2,routed_tri_structural_60,0.6834,0.4786,0.8188,0.1423,0.0446,0.3514
27b,instruct,damaged_q2,routed_tri_structural_65,0.7345,0.5182,0.8469,0.1254,0.038,0.3457
27b,instruct,damaged_q2,stability_first_tri_70,0.7782,0.5509,0.8697,0.1152,0.038,0.3354
27b,instruct,damaged_q3,cognitive_structural_25_75,0.9057,0.6961,0.9466,0.0705,0.0191,0.2459
27b,instruct,damaged_q3,cyber_structural_25_75,0.8905,0.6854,0.9401,0.0791,0.0264,0.2379
27b,instruct,damaged_q3,q2_structural_amplifier,0.8788,0.4982,0.9174,0.0857,0.2746,0.262
27b,instruct,damaged_q3,routed_tri_structural_60,0.9012,0.6829,0.9452,0.0821,0.0404,0.24
27b,instruct,damaged_q3,routed_tri_structural_65,0.9079,0.6954,0.9484,0.0729,0.038,0.2296
27b,instruct,damaged_q3,stability_first_tri_70,0.9114,0.6963,0.9493,0.0702,0.0346,0.233
27b,instruct,damaged_q4,cognitive_structural_25_75,0.9279,0.752,0.9566,0.058,0.0184,0.1898
27b,instruct,damaged_q4,cyber_structural_25_75,0.9266,0.7482,0.9566,0.0564,0.0232,0.1888
27b,instruct,damaged_q4,q2_structural_amplifier,0.9041,0.5375,0.9282,0.0679,0.2575,0.2371
27b,instruct,damaged_q4,routed_tri_structural_60,0.9291,0.7305,0.9555,0.0555,0.0429,0.1991
27b,instruct,damaged_q4,routed_tri_structural_65,0.9373,0.7473,0.9601,0.0482,0.0414,0.1859
27b,instruct,damaged_q4,stability_first_tri_70,0.9332,0.7507,0.9593,0.0504,0.0352,0.1827
27b,instruct,healthy_q6,cognitive_structural_25_75,0.9509,0.8125,0.9673,0.0345,0.0184,0.1421
27b,instruct,healthy_q6,cyber_structural_25_75,0.9513,0.8087,0.9674,0.0348,0.0223,0.1395
27b,instruct,healthy_q6,q2_structural_amplifier,0.9125,0.5455,0.9318,0.0577,0.2821,0.1879
27b,instruct,healthy_q6,routed_tri_structural_60,0.9477,0.7823,0.9646,0.0361,0.0405,0.1512
27b,instruct,healthy_q6,routed_tri_structural_65,0.942,0.7848,0.9643,0.0418,0.0354,0.1479
27b,instruct,healthy_q6,stability_first_tri_70,0.9436,0.7916,0.9645,0.0379,0.0348,0.1412
27b,instruct,healthy_q8,cognitive_structural_25_75,0.9557,0.8295,0.9698,0.0282,0.017,0.1261
27b,instruct,healthy_q8,cyber_structural_25_75,0.9541,0.8211,0.9699,0.0305,0.0286,0.1229
27b,instruct,healthy_q8,q2_structural_amplifier,0.9204,0.5686,0.935,0.0502,0.2716,0.1873
27b,instruct,healthy_q8,routed_tri_structural_60,0.9609,0.8132,0.9706,0.0261,0.0386,0.1298
27b,instruct,healthy_q8,routed_tri_structural_65,0.9566,0.8068,0.9688,0.0277,0.0423,0.13
27b,instruct,healthy_q8,stability_first_tri_70,0.9537,0.8157,0.9692,0.0321,0.0357,0.1225
2b_reference,base,collapsed_q2_edge,cognitive_structural_25_75,0.0611,0.0464,0.2573,0.4959,0.022,0.5791
2b_reference,base,collapsed_q2_edge,cyber_structural_25_75,0.0736,0.0532,0.2765,0.4845,0.03,0.5336
2b_reference,base,collapsed_q2_edge,q2_structural_amplifier,0.4471,0.232,0.6721,0.2345,0.2891,0.5241
2b_reference,base,collapsed_q2_edge,routed_tri_structural_60,0.1289,0.0907,0.3717,0.4145,0.0473,0.5514
2b_reference,base,collapsed_q2_edge,routed_tri_structural_65,0.1393,0.0991,0.3903,0.3975,0.0414,0.5527
2b_reference,base,collapsed_q2_edge,stability_first_tri_70,0.1627,0.1129,0.4177,0.3821,0.0423,0.5446
2b_reference,base,damaged_q2,cognitive_structural_25_75,0.222,0.1605,0.4897,0.2979,0.0204,0.4848
2b_reference,base,damaged_q2,cyber_structural_25_75,0.255,0.1837,0.513,0.3096,0.033,0.4487
2b_reference,base,damaged_q2,q2_structural_amplifier,0.7061,0.35,0.8273,0.163,0.2784,0.4575
2b_reference,base,damaged_q2,routed_tri_structural_60,0.3854,0.2686,0.6267,0.2536,0.047,0.4546
2b_reference,base,damaged_q2,routed_tri_structural_65,0.3975,0.2784,0.6394,0.2396,0.0441,0.4543
2b_reference,base,damaged_q2,stability_first_tri_70,0.4496,0.3139,0.6675,0.2418,0.0409,0.4555
2b_reference,base,damaged_q3,cognitive_structural_25_75,0.743,0.5507,0.8537,0.1348,0.0209,0.3212
2b_reference,base,damaged_q3,cyber_structural_25_75,0.7243,0.5404,0.8427,0.1343,0.0354,0.2971
2b_reference,base,damaged_q3,q2_structural_amplifier,0.8607,0.4489,0.9063,0.1037,0.2761,0.3375
2b_reference,base,damaged_q3,routed_tri_structural_60,0.8364,0.5966,0.9126,0.1202,0.0461,0.2986
2b_reference,base,damaged_q3,routed_tri_structural_65,0.8507,0.6104,0.9196,0.1113,0.047,0.2982
2b_reference,base,damaged_q3,stability_first_tri_70,0.8557,0.6145,0.9216,0.1109,0.0346,0.2943
2b_reference,base,damaged_q4,cognitive_structural_25_75,0.8927,0.6768,0.941,0.0811,0.0209,0.2546
2b_reference,base,damaged_q4,cyber_structural_25_75,0.8686,0.6704,0.9302,0.0941,0.0312,0.2384
2b_reference,base,damaged_q4,q2_structural_amplifier,0.8898,0.4966,0.9199,0.082,0.2823,0.2673
2b_reference,base,damaged_q4,routed_tri_structural_60,0.8954,0.6752,0.9434,0.0855,0.0437,0.2402
2b_reference,base,damaged_q4,routed_tri_structural_65,0.9012,0.6789,0.946,0.0795,0.045,0.2311
2b_reference,base,damaged_q4,stability_first_tri_70,0.9041,0.675,0.9462,0.0761,0.0405,0.2473
2b_reference,base,healthy_q6,cognitive_structural_25_75,0.9239,0.7498,0.9564,0.058,0.0209,0.1857
2b_reference,base,healthy_q6,cyber_structural_25_75,0.927,0.7604,0.9581,0.0555,0.0323,0.1686
2b_reference,base,healthy_q6,q2_structural_amplifier,0.9014,0.5352,0.9276,0.067,0.2834,0.2164
2b_reference,base,healthy_q6,routed_tri_structural_60,0.9286,0.7479,0.9582,0.0546,0.0446,0.1723
2b_reference,base,healthy_q6,routed_tri_structural_65,0.9293,0.7512,0.9577,0.0557,0.0409,0.1718
2b_reference,base,healthy_q6,stability_first_tri_70,0.9343,0.7521,0.9606,0.0514,0.0425,0.1745
2b_reference,base,healthy_q8,cognitive_structural_25_75,0.9461,0.7961,0.9654,0.0362,0.0214,0.15
2b_reference,base,healthy_q8,cyber_structural_25_75,0.9464,0.7896,0.9656,0.038,0.0334,0.1482
2b_reference,base,healthy_q8,q2_structural_amplifier,0.9118,0.5482,0.9309,0.06,0.2827,0.1941
2b_reference,base,healthy_q8,routed_tri_structural_60,0.9446,0.7741,0.9645,0.0395,0.0455,0.1545
2b_reference,base,healthy_q8,routed_tri_structural_65,0.9479,0.7832,0.9662,0.0359,0.0448,0.1448
2b_reference,base,healthy_q8,stability_first_tri_70,0.9455,0.7904,0.9661,0.0379,0.0386,0.1398
2b_reference,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,0.0548,0.0402,0.2483,0.5045,0.0236,0.5864
2b_reference,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,0.0634,0.0477,0.2584,0.5,0.0361,0.5516
2b_reference,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,0.4284,0.2198,0.6463,0.2434,0.2896,0.5425
2b_reference,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,0.1086,0.0764,0.3313,0.4418,0.0471,0.5573
2b_reference,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,0.1316,0.0927,0.3697,0.41,0.0466,0.5552
2b_reference,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,0.1382,0.1011,0.3893,0.4014,0.0448,0.55
2b_reference,degraded_instruct,damaged_q2,cognitive_structural_25_75,0.203,0.1511,0.4777,0.3,0.0223,0.4871
2b_reference,degraded_instruct,damaged_q2,cyber_structural_25_75,0.2443,0.173,0.504,0.2989,0.0366,0.4716
2b_reference,degraded_instruct,damaged_q2,q2_structural_amplifier,0.6971,0.3446,0.8179,0.1582,0.2914,0.4579
2b_reference,degraded_instruct,damaged_q2,routed_tri_structural_60,0.325,0.2295,0.5882,0.26,0.0498,0.4705
2b_reference,degraded_instruct,damaged_q2,routed_tri_structural_65,0.3732,0.2548,0.6214,0.2432,0.0489,0.4627
2b_reference,degraded_instruct,damaged_q2,stability_first_tri_70,0.4089,0.2812,0.6492,0.235,0.043,0.4639
2b_reference,degraded_instruct,damaged_q3,cognitive_structural_25_75,0.7284,0.5327,0.8446,0.1334,0.0232,0.3357
2b_reference,degraded_instruct,damaged_q3,cyber_structural_25_75,0.7171,0.53,0.8378,0.1355,0.0407,0.3084
2b_reference,degraded_instruct,damaged_q3,q2_structural_amplifier,0.8552,0.4504,0.903,0.1077,0.2843,0.3352
2b_reference,degraded_instruct,damaged_q3,routed_tri_structural_60,0.8177,0.5721,0.8985,0.1143,0.0489,0.3109
2b_reference,degraded_instruct,damaged_q3,routed_tri_structural_65,0.8255,0.5902,0.9054,0.122,0.0512,0.2927
2b_reference,degraded_instruct,damaged_q3,stability_first_tri_70,0.8473,0.5977,0.9159,0.1089,0.0454,0.3104
2b_reference,degraded_instruct,damaged_q4,cognitive_structural_25_75,0.882,0.6714,0.9366,0.0909,0.0243,0.2516
2b_reference,degraded_instruct,damaged_q4,cyber_structural_25_75,0.8812,0.668,0.9323,0.0777,0.0371,0.2448
2b_reference,degraded_instruct,damaged_q4,q2_structural_amplifier,0.8841,0.4886,0.9177,0.088,0.2796,0.2804
2b_reference,degraded_instruct,damaged_q4,routed_tri_structural_60,0.8973,0.6673,0.9436,0.0813,0.0514,0.2416
2b_reference,degraded_instruct,damaged_q4,routed_tri_structural_65,0.9009,0.6793,0.945,0.0807,0.0482,0.2355
2b_reference,degraded_instruct,damaged_q4,stability_first_tri_70,0.9045,0.6759,0.9467,0.078,0.0475,0.2384
2b_reference,degraded_instruct,healthy_q6,cognitive_structural_25_75,0.9289,0.7484,0.9572,0.0541,0.0245,0.1882
2b_reference,degraded_instruct,healthy_q6,cyber_structural_25_75,0.9291,0.7575,0.9583,0.0575,0.0329,0.1734
2b_reference,degraded_instruct,healthy_q6,q2_structural_amplifier,0.9154,0.527,0.9302,0.0605,0.2943,0.2134
2b_reference,degraded_instruct,healthy_q6,routed_tri_structural_60,0.9261,0.7343,0.9574,0.0555,0.0532,0.1823
2b_reference,degraded_instruct,healthy_q6,routed_tri_structural_65,0.9255,0.7384,0.9567,0.0546,0.0484,0.1787
2b_reference,degraded_instruct,healthy_q6,stability_first_tri_70,0.9296,0.738,0.9579,0.0518,0.0455,0.1811
2b_reference,degraded_instruct,healthy_q8,cognitive_structural_25_75,0.9496,0.7945,0.9666,0.0341,0.0255,0.1548
2b_reference,degraded_instruct,healthy_q8,cyber_structural_25_75,0.9507,0.7927,0.9674,0.0362,0.0345,0.1479
2b_reference,degraded_instruct,healthy_q8,q2_structural_amplifier,0.9038,0.5291,0.9272,0.0614,0.2961,0.2082
2b_reference,degraded_instruct,healthy_q8,routed_tri_structural_60,0.9454,0.7711,0.9645,0.0368,0.0498,0.1543
2b_reference,degraded_instruct,healthy_q8,routed_tri_structural_65,0.9505,0.7739,0.9664,0.0321,0.0539,0.1505
2b_reference,degraded_instruct,healthy_q8,stability_first_tri_70,0.9482,0.7782,0.9657,0.0361,0.0413,0.1598
2b_reference,instruct,collapsed_q2_edge,cognitive_structural_25_75,0.0377,0.0309,0.2042,0.5487,0.0189,0.6
2b_reference,instruct,collapsed_q2_edge,cyber_structural_25_75,0.0512,0.0375,0.2205,0.5393,0.0257,0.5487
2b_reference,instruct,collapsed_q2_edge,q2_structural_amplifier,0.3082,0.1648,0.5569,0.2859,0.2645,0.575
2b_reference,instruct,collapsed_q2_edge,routed_tri_structural_60,0.0677,0.048,0.2691,0.4813,0.0409,0.5814
2b_reference,instruct,collapsed_q2_edge,routed_tri_structural_65,0.0795,0.0557,0.2907,0.468,0.0404,0.5804
2b_reference,instruct,collapsed_q2_edge,stability_first_tri_70,0.1013,0.0755,0.3242,0.4387,0.0355,0.5555
2b_reference,instruct,damaged_q2,cognitive_structural_25_75,0.1586,0.1187,0.4202,0.3296,0.0159,0.5118
2b_reference,instruct,damaged_q2,cyber_structural_25_75,0.1846,0.1389,0.4465,0.3198,0.0295,0.4696
2b_reference,instruct,damaged_q2,q2_structural_amplifier,0.6004,0.3045,0.762,0.1721,0.2743,0.4875
2b_reference,instruct,damaged_q2,routed_tri_structural_60,0.2425,0.1691,0.5089,0.2893,0.0452,0.485
2b_reference,instruct,damaged_q2,routed_tri_structural_65,0.2748,0.1968,0.5342,0.2843,0.0395,0.4612
2b_reference,instruct,damaged_q2,stability_first_tri_70,0.3177,0.223,0.5755,0.2555,0.0327,0.4795
2b_reference,instruct,damaged_q3,cognitive_structural_25_75,0.6332,0.4809,0.7892,0.1475,0.0177,0.3259
2b_reference,instruct,damaged_q3,cyber_structural_25_75,0.6634,0.4959,0.804,0.1364,0.0279,0.3252
2b_reference,instruct,damaged_q3,q2_structural_amplifier,0.8295,0.4402,0.8908,0.115,0.2727,0.3468
2b_reference,instruct,damaged_q3,routed_tri_structural_60,0.7414,0.5316,0.8543,0.1384,0.0423,0.3246
2b_reference,instruct,damaged_q3,routed_tri_structural_65,0.7786,0.5537,0.8713,0.1216,0.0411,0.3284
2b_reference,instruct,damaged_q3,stability_first_tri_70,0.8073,0.5739,0.8914,0.1191,0.0323,0.3243
2b_reference,instruct,damaged_q4,cognitive_structural_25_75,0.8591,0.6504,0.9225,0.0946,0.0225,0.2623
2b_reference,instruct,damaged_q4,cyber_structural_25_75,0.8486,0.6668,0.9127,0.0936,0.0243,0.2332
2b_reference,instruct,damaged_q4,q2_structural_amplifier,0.8761,0.4795,0.9145,0.0932,0.2761,0.2916
2b_reference,instruct,damaged_q4,routed_tri_structural_60,0.885,0.6684,0.9365,0.088,0.0386,0.2532
2b_reference,instruct,damaged_q4,routed_tri_structural_65,0.8884,0.6641,0.9391,0.0818,0.0391,0.2523
2b_reference,instruct,damaged_q4,stability_first_tri_70,0.8871,0.6707,0.9396,0.087,0.0386,0.252
2b_reference,instruct,healthy_q6,cognitive_structural_25_75,0.9264,0.7473,0.9556,0.0541,0.0161,0.1988
2b_reference,instruct,healthy_q6,cyber_structural_25_75,0.922,0.7432,0.9554,0.0616,0.0243,0.1893
2b_reference,instruct,healthy_q6,q2_structural_amplifier,0.9025,0.5243,0.9262,0.0691,0.2762,0.2359
2b_reference,instruct,healthy_q6,routed_tri_structural_60,0.9273,0.7357,0.957,0.0586,0.0371,0.19
2b_reference,instruct,healthy_q6,routed_tri_structural_65,0.9236,0.7352,0.9553,0.0577,0.037,0.1913
2b_reference,instruct,healthy_q6,stability_first_tri_70,0.923,0.7538,0.9568,0.0604,0.0368,0.1695
2b_reference,instruct,healthy_q8,cognitive_structural_25_75,0.9391,0.7889,0.9628,0.0439,0.018,0.1602
2b_reference,instruct,healthy_q8,cyber_structural_25_75,0.9407,0.787,0.9629,0.0441,0.0254,0.1582
2b_reference,instruct,healthy_q8,q2_structural_amplifier,0.9148,0.5577,0.9322,0.0557,0.2666,0.2064
2b_reference,instruct,healthy_q8,routed_tri_structural_60,0.9418,0.7702,0.9634,0.0418,0.0396,0.1655
2b_reference,instruct,healthy_q8,routed_tri_structural_65,0.9479,0.7791,0.9644,0.0373,0.0393,0.1559
2b_reference,instruct,healthy_q8,stability_first_tri_70,0.9409,0.7714,0.9631,0.0389,0.0318,0.1641
35b_a3b_moe,base,collapsed_q2_edge,cognitive_structural_25_75,0.3143,0.2409,0.5899,0.1889,0.0204,0.3818
35b_a3b_moe,base,collapsed_q2_edge,cyber_structural_25_75,0.3513,0.2555,0.6023,0.1921,0.0361,0.3589
35b_a3b_moe,base,collapsed_q2_edge,q2_structural_amplifier,0.7884,0.4014,0.868,0.1164,0.2907,0.375
35b_a3b_moe,base,collapsed_q2_edge,routed_tri_structural_60,0.4943,0.3607,0.7123,0.1554,0.0489,0.3714
35b_a3b_moe,base,collapsed_q2_edge,routed_tri_structural_65,0.5455,0.4016,0.7369,0.1489,0.0486,0.3475
35b_a3b_moe,base,collapsed_q2_edge,stability_first_tri_70,0.5673,0.4189,0.7526,0.1532,0.0395,0.3532
35b_a3b_moe,base,damaged_q2,cognitive_structural_25_75,0.6663,0.503,0.8121,0.1212,0.0173,0.313
35b_a3b_moe,base,damaged_q2,cyber_structural_25_75,0.6675,0.502,0.806,0.1184,0.0288,0.3029
35b_a3b_moe,base,damaged_q2,q2_structural_amplifier,0.87,0.4561,0.9094,0.0938,0.2812,0.3287
35b_a3b_moe,base,damaged_q2,routed_tri_structural_60,0.8193,0.5945,0.8964,0.102,0.0452,0.3046
35b_a3b_moe,base,damaged_q2,routed_tri_structural_65,0.8405,0.6011,0.9067,0.0932,0.0427,0.3048
